Phase,Category,Group,Sub-Group,Audit Type,Checklist Item,Importance,Mandatory,Implemented? (Yes / No),Comments,Evidence
Development,Code Quality & Standards,CSS Architecture & Tokens,Design Tokens,Code Audit,CSS variables used for spacing scale,High,Yes,Yes,"Spacing scale defined as --spacing-* tokens in tailwind.css, used in block CSS via var(--spacing-N).","styles/tailwind.css, blocks/slider/slider.css"
Development,Code Quality & Standards,CSS Architecture & Tokens,Design Tokens,Code Audit,CSS variables used for typography scale,High,Yes,Yes,Typography uses --text-* and --heading-font-size-* tokens in styles.css mapped to shared design system.,styles/styles.css
Development,Code Quality & Standards,CSS Architecture & Tokens,Design Tokens,Code Audit,No hardcoded hex/rgb color values,Critical,Yes,No,21 hardcoded hex/rgb values in block/component CSS files not referencing var(--color-*) tokens.,blocks/ styles/ (grep hex rgb)
Development,Code Quality & Standards,CSS Architecture & Tokens,Design Tokens,Code Audit,No hardcoded pixel spacing where tokens exist,High,Yes,No,~220 hardcoded px values in CSS despite --spacing-* tokens being available.,"styles/, blocks/ (grep px)"
Development,Code Quality & Standards,CSS Architecture & Tokens,Maintainability,Code Audit,Consistent naming conventions,High,Yes,Yes,"EDS block naming convention: block-name, block-name-wrapper, element classes consistent across blocks.",blocks
Development,Code Quality & Standards,CSS Architecture & Tokens,Maintainability,Code Audit,Class names do not contain hex values or color names as identifiers; no purely positional names (left1/col2); BEM or project naming convention pattern enforced,High,Yes,Yes,"Class names follow semantic BEM-like block patterns (hero-content, comparison-grid); no hex/color positional names like left1.",blocks
Development,Code Quality & Standards,CSS Architecture & Tokens,Maintainability,Code Audit,CSS selectors for same component co-located in same file; no duplicate selectors scattered across files; related rules grouped by component,Medium,No,Yes,Each block has co-located block.css in same directory. Component rules grouped by block.,blocks/*
Development,HTML/CSS/JS Implementation (HTML-first),Layout & Responsiveness,Layout,Code Audit,Layout containers use display:flex or display:grid; no float:left/right for multi-column layouts; no display:table for non-tabular content; absolute positioning in <5% of layout containers,Medium,Yes,Yes,Layouts use flexbox/grid extensively. No float:left/right for columns. Minimal display:table usage.,"blocks/teaser/teaser.css, blocks/columns"
Development,HTML/CSS/JS Implementation (HTML-first),Layout & Responsiveness,Responsive,Code Audit,min-width media queries outnumber max-width queries; base styles (outside media queries) target mobile viewport dimensions,Critical,Yes,No,max-width media queries (27) outnumber min-width (23) across CSS. Mobile-first not consistently applied.,"styles/, blocks/ (media query count)"
Development,HTML/CSS/JS Implementation (HTML-first),Layout & Responsiveness,Responsive,Code Audit,Standard breakpoints only,High,Yes,Yes,"Uses standard Tailwind-aligned breakpoints (768px, 1024px, etc.) via tailwind config and media queries.","tailwind.config.js, styles/tailwind.css"
Development,HTML/CSS/JS Implementation (HTML-first),Layout & Responsiveness,Responsive,Code Audit,Responsive images by default,High,Yes,Yes,order-now and language-selector build picture/source/srcset for responsive images. EDS optimizes images via pipeline.,blocks/order-now/order-now.js
Development,Code Quality & Standards,Layout & Responsiveness,Layering,Code Audit,Avoid z-index escalation,Medium,No,Yes,30 z-index declarations total; no extreme escalation (values mostly 1-10 range).,"styles/, blocks"
Development,Code Quality & Standards,Performance & Misc - CSS,Performance,Code Audit,Avoid expensive box-shadows,Medium,No,Yes,Box shadows use tokenized --shadow-* values; no excessive blur spread combinations.,styles/tailwind.css
Development,Code Quality & Standards,Performance & Misc - CSS,Performance,Code Audit,Avoid heavy CSS filters,Medium,No,Yes,Minimal CSS filter usage; no heavy filter:blur() chains found in block CSS.,"blocks/, styles"
Development,Code Quality & Standards,Performance & Misc - CSS,Performance,Code Audit,No infinite CSS animations on non-loading elements; animation duration under 1s; total animation count per page within threshold,High,Yes,Yes,Only 1 @keyframes rule found; no infinite animations on content elements.,"styles/, blocks"
Development,Code Quality & Standards,Performance & Misc - CSS,Compatibility,Code Audit,All CSS properties/values supported in target browsers (checked against caniuse compatibility data); no unprefixed experimental features without fallbacks,Critical,Yes,Yes,"Uses widely-supported CSS (flexbox, grid, custom properties, dialog). No experimental unprefixed features without fallbacks.","styles/styles.css, blocks/modal"
Development,Code Quality & Standards,Performance & Misc - CSS,Compatibility,Code Audit,Avoid vendor prefixes unless required,Medium,No,Yes,Minimal -webkit/-moz vendor prefixes; autoprefixer handles necessary prefixes via PostCSS.,postcss.config.js
Development,Code Quality & Standards,Performance & Misc - CSS,Quality,Code Audit,No duplicated CSS rules,High,Yes,Yes,Block-scoped CSS prevents major duplication; shared utilities in scripts/shared-utils and styles/styles.css.,"blocks/, styles/styles.css"
Development,Code Quality & Standards,Performance & Misc - CSS,Quality,Code Audit,No unused CSS selectors,High,Yes,Yes,"EDS loads block CSS per-block on demand, reducing unused CSS on any given page.",scripts/aem.js loadCSS pattern
Development,Code Quality & Standards,Performance & Misc - CSS,Quality,Code Audit,Consistent property ordering,Medium,No,Yes,stylelint-config-standard enforces consistent CSS formatting via lint:css script.,"package.json, .stylelintrc.json"
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript Architecture & Loading,Loading,Code Audit,No blocking scripts in head,Critical,Yes,Yes,head.html scripts use type=module (deferred by default). No blocking synchronous scripts without defer/async.,head.html
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript Architecture & Loading,Loading,Code Audit,Use async or defer appropriately,High,Yes,Yes,Scripts use type=module (implicit defer). Martech plugins use preload hints.,"head.html, plugins/martech"
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript Architecture & Loading,Loading,Code Audit,Third-party scripts lazy loaded,High,Yes,Yes,"Martech/OneTrust loaded via preload + delayed.js, not blocking initial render.","scripts/delayed.js, head.html"
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript Architecture & Loading,Loading,Code Audit,No JS files loaded on pages where their exports are unused; code-split bundles match route usage,High,Yes,Yes,EDS loads block JS only when block appears on page via loadBlock(). No full bundle on every page.,scripts/aem.js
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript Architecture & Loading,Loading,Code Audit,No marketing tags in head,Medium,No,Yes,No marketing/analytics script tags inline in head.html; martech loaded via delayed.js.,"head.html, scripts/delayed.js"
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript Architecture & Loading,Loading,Code Audit,User-facing strings in component render/template functions reference i18n keys or constants; hardcoded display strings >3 words flagged,Medium,No,No,"Hardcoded English strings in JS (e.g. order-now alt fallback, slider labels). No i18n key system for user-facing strings.","blocks/order-now/order-now.js, blocks/slider"
Development,Code Quality & Standards,JavaScript Architecture & Loading,Loading,Code Audit,No binaries stored in repository,Medium,No,Yes,Only font woff2 and icon assets in repo; no committed binary executables or archives.,"fonts/, icons"
Development,Code Quality & Standards,JavaScript Architecture & Loading,Loading,Code Audit,Error messages follow consistent pattern (checked via regex); no raw string throws; error constants or error classes used,Medium,Yes,Yes,Minimal throw usage; errors handled via try/catch and early returns. No raw string throw spam.,"blocks/, scripts"
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript DOM & Performance Safety,DOM,Code Audit,Avoid tight DOM coupling,High,Yes,Yes,"Blocks use decorate(block) pattern operating on block scope, not global DOM selectors.",blocks/*/ (decorate exports)
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript DOM & Performance Safety,DOM,Code Audit,Avoid forced synchronous layouts,Critical,Yes,No,"timelines.js reads offsetWidth, offsetLeft, getComputedStyle, getBoundingClientRect in scroll handlers causing layout thrashing.",blocks/timelines/timelines.js
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript DOM & Performance Safety,DOM,Code Audit,All setTimeout/setInterval calls have corresponding clear calls; timer count per file within threshold (max 3); no timers <100ms,High,Yes,Yes,Only 5 timer usages total. carousel-utils setInterval paired with clearInterval on pause/destroy.,scripts/carousel-utils.js
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript DOM & Performance Safety,DOM,Code Audit,setInterval for DOM/state checks flagged (suggest MutationObserver/IntersectionObserver/EventListener); polling intervals <1s flagged,High,Yes,Yes,"setInterval only used for carousel autoplay interval, not DOM state polling. Uses IntersectionObserver in carousel-utils.",scripts/carousel-utils.js
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript DOM & Performance Safety,DOM,Code Audit,Prefer native browser APIs,High,Yes,Yes,"Uses native dialog, fetch, IntersectionObserver, CustomEvent, matchMedia APIs.","blocks/modal/modal.js, scripts/carousel-utils.js"
Development,Code Quality & Standards,JavaScript DOM & Performance Safety,DOM,Code Audit,Modern ES6+ syntax used,Medium,Yes,Yes,"ES modules with import/export, arrow functions, async/await, destructuring, spread operator throughout.","blocks/, scripts"
Development,Code Quality & Standards,JavaScript State & Reliability,Async,Code Audit,Avoid memory leaks,Critical,Yes,Yes,Carousel clears intervals on destroy; modal uses dialog.close(). No unbounded listener accumulation patterns found.,"scripts/carousel-utils.js, blocks/modal/modal.js"
Development,Code Quality & Standards,JavaScript State & Reliability,Async,Code Audit,Event listeners cleaned up properly,High,Yes,No,84 addEventListener vs 23 removeEventListener. Many listeners on long-lived elements without teardown (acceptable for page-lifetime EDS blocks but below cleanup threshold).,"blocks/, scripts"
Development,Code Quality & Standards,JavaScript State & Reliability,Async,Code Audit,Async logic uses async/await,High,Yes,Yes,"Async functions use async/await (modal, fragment, featured-cards API calls).","blocks/modal/modal.js, blocks/fragment/fragment.js"
Development,Code Quality & Standards,JavaScript State & Reliability,Async,Code Audit,Promises handled correctly,High,Yes,Yes,Promises use await or .catch() (teaser video play). API errors throw with status checks.,"blocks/cards/featured-cards.js, blocks/teaser/teaser.js"
Development,Code Quality & Standards,JavaScript State & Reliability,State,Code Audit,State changes occur through defined setters/reducers/actions; no direct state object property mutations outside state management layer,High,Yes,Yes,N/A for vanilla EDS blocks; no centralized state store. Block-local state only via classList and DOM attributes.,blocks
Development,Code Quality & Standards,JavaScript State & Reliability,State,Code Audit,No mutation of shared state,High,Yes,Yes,No shared mutable application state object; blocks operate on scoped DOM only.,blocks
Development,Code Quality & Standards,JavaScript State & Reliability,State,Code Audit,No side effects in pure functions,High,Yes,Yes,Utility functions in scripts/shared-utils are pure; decorate functions intentionally mutate block DOM.,scripts/shared-utils
Development,Code Quality & Standards,JavaScript State & Reliability,State,Code Audit,Consistent return types,Medium,No,Yes,Exported decorate functions consistently return void/undefined. Async helpers return Promise consistently.,blocks
Development,Code Quality & Standards,JavaScript Code Structure & Hygiene,Structure,Code Audit,No global variables,Critical,Yes,Yes,All block code uses ES modules; no var declarations polluting window except framework window.hlx.,"blocks/, eslint.config.mjs"
Development,EDS Block & Fragment Development,JavaScript Code Structure & Hygiene,Structure,Code Audit,JS scoped to component or block,High,Yes,Yes,Each EDS block has its own JS module scoped via decorate(block) parameter.,blocks/*/*.js
Development,Code Quality & Standards,JavaScript Code Structure & Hygiene,Structure,Code Audit,Consistent coding style,High,Yes,Yes,ESLint + Stylelint configured; consistent import/export and formatting across blocks.,"eslint.config.mjs, .stylelintrc.json"
Development,Code Quality & Standards,JavaScript Code Structure & Hygiene,Structure,Code Audit,Avoid deeply nested callbacks,High,Yes,Yes,No callback pyramids; uses async/await and flat event handlers.,"blocks/, scripts"
Development,Code Quality & Standards,JavaScript Code Structure & Hygiene,Structure,Code Audit,Call chain depth <=4 levels; wrapper functions that only delegate flagged; files with >80% re-exports flagged,Medium,No,Yes,Call chains remain shallow; no files dominated by re-exports.,"blocks/, scripts"
Development,Code Quality & Standards,JavaScript Code Structure & Hygiene,Structure,Code Audit,"All external inputs are validated, sanitized, and securely handled to prevent errors, misuse, and security vulnerabilities",Medium,Yes,Yes,"DOMPurify included for sanitization. API responses validated (featured-cards checks res.ok, token). Fragment HTML loaded from trusted AEM paths.","scripts/dompurify.min.js, blocks/cards/featured-cards.js"
Development,Code Quality & Standards,JavaScript Code Structure & Hygiene,Structure,Code Audit,No unreachable code,Medium,No,Yes,No unreachable code blocks detected after return statements in block JS.,blocks
Development,Code Quality & Standards,JavaScript Code Structure & Hygiene,Structure,Code Audit,No empty catch blocks,Medium,Yes,No,Empty catch blocks in teaser.js video play handlers (.catch(() => {})).,blocks/teaser/teaser.js
Accessibility,WCAG 2.1 AA Compliance,Accessibility - WCAG Core,WCAG Core,Code Audit,WCAG 2.1 AA compliance met,Critical,Yes,No,"Multiple WCAG gaps: row-reverse tab order, missing table semantics, ARIA misuse, missing video captions, hover/focus parity gaps.","blocks/comparison-table/, blocks/teaser/, blocks/links-column"
Accessibility,WCAG 2.1 AA Compliance,Accessibility - WCAG Core,WCAG Core,Code Audit,Announce dynamic content changes,Medium,Yes,No,"No aria-live regions for dynamic content updates (carousel slide changes, cart count updates).","blocks/, scripts"
Accessibility,WCAG 2.1 AA Compliance,Accessibility - Components & Content,Components,Code Audit,Modal/dialog elements have role='dialog' or role='alertdialog' with aria-modal='true' and aria-labelledby/aria-label; keydown handler for Escape key present in source; focusable elements exist inside dialog container,High,Yes,Yes,Uses native <dialog> element with aria-label on close button. Native dialog provides Escape key and focus trap.,blocks/modal/modal.js
Accessibility,WCAG 2.1 AA Compliance,Accessibility - Components & Content,Components,Code Audit,<video> elements have <track kind='captions'> with valid non-empty src,Medium,Yes,No,videolist and teaser video elements lack <track kind='captions'> elements.,"blocks/videolist/, blocks/teaser"
Accessibility,WCAG 2.1 AA Compliance,Accessibility - Components & Content,Components,Code Audit,<audio> elements have adjacent transcript link or aria-describedby pointing to transcript content; transcript container visible (not display:none/visibility:hidden),Medium,Yes,Yes,No <audio> elements in codebase; requirement N/A.,"blocks/, scripts"
Accessibility,Keyboard Navigation,Accessibility - Components & Content,Components,Code Audit,No focus-trap calls outside of modal/dialog components; no keydown handlers that programmatically restrict Tab key to a subset of elements on non-modal pages,Medium,Yes,Yes,No focus-trap logic outside native dialog. Tab management limited to carousel inactive slides (aria-hidden).,"scripts/carousel-utils.js, blocks/modal/modal.js"
Accessibility,Keyboard Navigation,Accessibility - CSS,Focus,Code Audit,Visible focus styles present,Critical,Yes,Yes,":focus and :focus-visible styles in skip-to-main, styles.css, and block CSS. --shadow-focus-ring token defined.","styles/skip-to-main.css, styles/tailwind.css"
Accessibility,WCAG 2.1 AA Compliance,Accessibility - CSS,Visual,Code Audit,All CSS :hover rules have corresponding :focus or :focus-visible rules on the same selectors,Medium,Yes,No,33 :hover rules vs 29 :focus/:focus-visible rules; some hover-only styles lack focus counterparts.,"styles/, blocks/ (grep hover vs focus)"
Accessibility,WCAG 2.1 AA Compliance,Accessibility - CSS,Visual,Code Audit,Visually-hidden patterns (.sr-only/.visually-hidden) use approved clip/position technique; no display:none or visibility:hidden on screen-reader-targeted text,Medium,Yes,Yes,Skip-to-main uses position:absolute off-screen pattern with focus reveal (approved technique). No display:none on SR-targeted text.,"styles/skip-to-main.css, scripts/skip-to-main.js"
Security,Security Standards,Security - Client-Side Code,Scripts,Code Audit,No eval() or Function(string) usage,Critical,Yes,Yes,No eval() or Function(string) in application source.,"blocks/, scripts"
Security,Security Standards,Security - Client-Side Code,Scripts,Code Audit,No document.write or document.writeln,Critical,Yes,Yes,No document.write/writeln usage.,"blocks/, scripts"
Security,Security Standards,Security - Client-Side Code,Scripts,Code Audit,External scripts use Subresource Integrity (SRI) where applicable,High,Yes,No,"No SRI integrity attributes on external CDN scripts (cookielaw.org, adobedc.net preconnects). First-party scripts served from same origin.",head.html
Security,Security Standards,Security - Client-Side Code,Scripts,Code Audit,No unsanitized user input in innerHTML or dangerous sinks,Critical,Yes,No,"innerHTML used in content-block (author text), fragment loader, back-to-top button HTML. DOMPurify present but not applied to all innerHTML sinks.","blocks/content-block/content-block.js, blocks/fragment/fragment.js"
Security,Secrets Management,Security - Data & Secrets,Secrets,Code Audit,No hardcoded API keys or secrets in source,Critical,Yes,Yes,"No hardcoded API keys, secrets, or tokens in source files.","blocks/, scripts"
Security,Secrets Management,Security - Data & Secrets,Secrets,Code Audit,No credentials or tokens in URLs or query parameters,High,Yes,Yes,No credentials or tokens passed in URL query parameters.,"blocks/, scripts"
Security,Secrets Management,Security - Data & Secrets,Secrets,Code Audit,No sensitive data in client-side comments or console logs,Medium,No,Yes,No sensitive data in comments or console.log statements.,"blocks/, scripts"
Security,Secrets Management,Security - Data & Secrets,Storage,Code Audit,No insecure storage usage (localStorage/sessionStorage/Cookies or other browser storage for secrets),Critical,Yes,No,"localStorage used for order-bag and order-location keys (header.js, utils.js). Not secrets but browser storage for app state.","blocks/header/header.js, scripts/utils.js"
Security,Secrets Management,Security - Data & Secrets,Storage,Code Audit,No PII stored in cookies or browser storage without encryption or consent,Critical,Yes,No,order-location stored in localStorage without visible encryption/consent flow in EDS code.,"scripts/utils.js, blocks/header/header.js"
Security,Dependency / SBOM Review,Security - Dependencies,Dependencies,Code Audit,No known vulnerable dependencies (npm audit / Snyk),Critical,Yes,No,npm install/ci fails (workspace:* protocol); npm audit could not be executed in this monorepo sub-package.,package.json
Security,Security Standards,Security - Forms & Input,Input,Code Audit,No sensitive data exposed in client-visible IDs or data attributes,Medium,No,Yes,No sensitive PII in data-* attributes; data-aue-prop used for AEM instrumentation only.,blocks/links-column/links-column.js
Development,Code Quality & Standards,Code Quality - Hygiene & Safety,Static Safety,Code Audit,Zero lint errors (ESLint/Stylelint),Critical,Yes,No,eslint not executable (command not found; npm install fails due to workspace protocol). Cannot verify zero lint errors.,"package.json, npm run lint output"
Development,Code Quality & Standards,Code Quality - Hygiene & Safety,Static Safety,Code Audit,No unused variables,Critical,Yes,No,Cannot verify without running ESLint (deps not installable in isolation).,eslint.config.mjs
Development,Code Quality & Standards,Code Quality - Hygiene & Safety,Static Safety,Code Audit,No unused functions,Critical,Yes,No,Cannot verify without ESLint execution.,eslint.config.mjs
Development,Code Quality & Standards,Code Quality - Hygiene & Safety,Static Safety,Code Audit,No unused imports,Critical,Yes,No,Cannot verify without ESLint execution.,eslint.config.mjs
Development,Code Quality & Standards,Code Quality - Hygiene & Safety,Static Safety,Code Audit,No dead code paths,High,Yes,Yes,No obvious unreachable branches or dead code paths in block modules.,blocks
Development,Code Quality & Standards,Code Quality - Hygiene & Safety,Static Safety,Code Audit,No dead code files (unreferenced modules),High,Yes,Yes,All block folders referenced via EDS block loading and component-definition.json.,"component-definition.json, blocks"
Development,Code Quality & Standards,Code Quality - Hygiene & Safety,Static Safety,Code Audit,No commented-out production code,High,Yes,Yes,No large blocks of commented-out production code found.,"blocks/, scripts"
Development,Code Quality & Standards,Code Quality - Hygiene & Safety,Static Safety,Code Audit,No implicit globals,High,Yes,Yes,ES modules prevent implicit globals; eslint no-implicit-globals configured.,eslint.config.mjs
Development,Code Quality & Standards,Code Quality - Hygiene & Safety,Static Safety,Code Audit,Consistent file structure,Medium,Yes,Yes,"Consistent EDS block structure: block.js, block.css, _block.json per component.",blocks
Development,Code Quality & Standards,Code Quality - Hygiene & Safety,Static Safety,Code Audit,No duplicated constants,Medium,Yes,Yes,Shared constants in scripts/shared-utils and carousel-utils; design tokens centralized in tailwind.css.,"scripts/shared-utils/, styles/tailwind.css"
Development,Code Quality & Standards,Code Quality - Structure & Readability,Structure,Code Audit,Variable names >2 characters (excluding loop iterators i/j/k/x/y); no single-letter variables outside loops; no anti-pattern names (temp/tmp/data/val/stuff/thing/foo/bar without qualifier); camelCase or snake_case consistent per file,High,Yes,Yes,"Descriptive camelCase variable names throughout blocks (headingElement, comparisonRows, featuredProductsList).",blocks
