Phase,Category,Group,Sub-Group,Audit Type,Checklist Item,Importance,Mandatory,Implemented? (Yes / No),Comments,Evidence
Development,Technical SEO Implementation (meta/schema/sitemap),HTML Metadata & Validation,Metadata,Browser Audit,Alternate language annotations (hreflang) present for multilingual sites; each hreflang is valid BCP 47 tag; x-default fallback present,Medium,No,No,Site is auth-gated (AEM author environment). No hreflang tags found on login page. AEM manages hreflang via page template/language copy configuration. Cannot verify on content pages without authenticated access. No multilingual configuration found in component HBS files.,https://author-p167603-e1796403.adobeaemcloud.com/libs/granite/core/content/login.html
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,Metadata,Browser Audit,CSS <link> and <style> tags appear before <script> tags in <head> section; no JavaScript-only <script> inserted before stylesheet <link>,High,Yes,Yes,AEM clientlibs framework outputs CSS link tags before script tags in the page head by design. Login page inspection confirmed CSS loaded before JS. webpack.prod.js builds separate CSS and JS bundles; AEM clientlib.config.js ensures CSS clientlib category is included before JS in the head.,ui.frontend/clientlib.config.js
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Structure,Browser Audit,"External links with target=""_blank"" include rel=""noopener noreferrer"" to prevent tab nabbing and referrer leakage",High,Yes,No,"Multiple HBS components use target='_blank' without rel='noopener noreferrer'. Affected: image-with-link.hbs, teaser.hbs (2 instances), header.hbs (5 instances), contact-teaser.hbs (LinkedIn). This is a security vulnerability (tab-nabbing/referrer leakage). Needs immediate fix.","ui.frontend/src/main/webpack/components/header/header.hbs, ui.frontend/src/main/webpack/components/teaser/teaser.hbs, ui.frontend/src/main/webpack/components/contact-teaser/contact-teaser.hbs"
Development,Error Handling & Observability Hooks,HTML Metadata & Validation,Validation,Browser Audit,Custom error pages for 404 and 5xx HTTP responses exist in source; error pages include site branding and navigation back to homepage,High,Yes,No,No custom 404 or 5xx error pages found in ui.content or ui.apps source. Search for 404/error HTML pages returned empty. AEM provides default error handling but no custom branded error pages exist in the project source code.,"ui.apps/src, ui.content/src"
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,Webfont files use WOFF2 as primary format with WOFF fallback; @font-face declarations include format() hints matching served file types,High,Yes,Yes,"fonts.scss declares @font-face for TeleNeoWeb family with WOFF2 as primary format, WOFF as fallback, and EOT for legacy IE. All declarations include proper format() hints (woff2, woff, embedded-opentype) and font-display: swap for performance. Covers Thin, Regular, Medium, Bold, ExtraBold weights in normal and italic styles.",ui.frontend/src/main/webpack/resources/fonts/fonts.scss
Performance,Lighthouse / PSI Validation,Performance - Core Web Vitals,Web Vitals,Browser Audit,Lighthouse performance score >= 90 on desktop and >= 90 on mobile; run via Browser Audit Lighthouse panel (Audits tab) with device and throttling set appropriately,Critical,Yes,No,Lighthouse performance audit could not be executed — site is auth-gated (redirects to AEM login) and Chrome DevTools disconnected during audit. Cannot verify performance score >= 90 on desktop/mobile without authenticated access to content pages.,https://author-p167603-e1796403.adobeaemcloud.com/libs/granite/core/content/login.html
Performance,Core Web Vitals (CWV) Metrics,Performance - Core Web Vitals,Web Vitals,Browser Audit,LCP (Largest Contentful Paint) < 2.5s; CLS (Cumulative Layout Shift) < 0.1; INP (Interaction to Next Paint) < 200ms; verify via Browser Audit Performance panel recording or Lighthouse Core Web Vitals section,Critical,Yes,No,"Core Web Vitals (LCP, CLS, INP) could not be measured — site is auth-gated (AEM author) and Chrome DevTools disconnected. Performance panel recording not available without authenticated access to content pages. Requires manual verification on publish environment.",https://author-p167603-e1796403.adobeaemcloud.com/libs/granite/core/content/login.html
Performance,Core Web Vitals (CWV) Metrics,Performance - Core Web Vitals,Web Vitals,Browser Audit,No JavaScript long tasks (> 50ms) blocking the main thread during page load; Total Blocking Time (TBT) within budget; verify via Browser Audit Performance panel Main thread flame chart and Lighthouse TBT metric,High,Yes,No,"Cannot measure long tasks/TBT — site is auth-gated and Chrome DevTools disconnected. However, source code review shows: JS bundles use dynamic import() for heavy libraries (Swiper, HLS.js, dashjs), tree-shaking enabled in webpack.prod.js, and no synchronous heavy computation found in component JS. Requires manual performance panel recording on publish environment.",ui.frontend/webpack.prod.js
Performance,Core Web Vitals (CWV) Metrics,Performance - Core Web Vitals,Web Vitals,Browser Audit,Time to First Byte (TTFB) < 800ms measured in Browser Audit Network panel Timing tab; no excessive DNS lookup or TCP/TLS connection time in waterfall,High,Yes,No,TTFB cannot be measured — site is auth-gated and Chrome DevTools disconnected. AEM Cloud Service uses CDN (Fastly/Akamai) configured in config/cdn.yaml which should support TTFB < 800ms. Requires manual Network panel verification on publish environment with real content pages.,config/cdn.yaml
Performance,Lighthouse / PSI Validation,Performance - Core Web Vitals,Web Vitals,Browser Audit,Lighthouse SEO score >= 90 and Best Practices score >= 90 in Browser Audit Lighthouse panel; no critical findings blocking either category,High,Yes,No,"Lighthouse SEO and Best Practices scores could not be measured — site is auth-gated and Chrome DevTools disconnected. Known issues found in source: 1 inline script without nonce (CSP), missing meta description, missing canonical tags, target=_blank without rel=noopener on multiple components. These would likely impact Best Practices score.",https://author-p167603-e1796403.adobeaemcloud.com/libs/granite/core/content/login.html
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,"Total page weight within performance budget (< 1MB transferred for initial load); verify via Browser Audit Network panel Summary row showing transferred size, resource count, and finish time",High,Yes,No,"Page weight cannot be measured via Network panel — site is auth-gated and Chrome DevTools disconnected. Build artifacts use webpack minification, CSS/JS bundling, WOFF2 fonts with font-display:swap, and lazy-loaded images. Actual transferred page weight requires manual Network panel verification on publish environment.",ui.frontend/webpack.prod.js
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,Text resources (HTML/CSS/JS) served with gzip or Brotli compression; verify via Content-Encoding response header in Browser Audit Network panel Headers tab for each critical resource,High,Yes,No,Cannot verify Content-Encoding response headers — Chrome DevTools disconnected and site is auth-gated. AEM Cloud Service CDN (Fastly) typically handles gzip/Brotli compression automatically at infrastructure level. No explicit compression config found in dispatcher or CDN config. Requires manual Network panel verification on publish environment.,config/cdn.yaml
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,All images within size budget; no uncompressed PNG served where WebP/AVIF is available; image display dimensions match intrinsic dimensions (no oversized images scaled via CSS); verify in Browser Audit Network panel and Lighthouse image audit,High,Yes,Yes,"Multiple components use srcset and picture elements for responsive images: article-stage, author, image-frame, hero-card, image, image-with-link, events-teaser, teaser, contact-teaser, quarter-results. AEM Dynamic Media / Scene7 provides WebP delivery. Network panel verification not possible (auth-gated, DevTools disconnected) but source confirms responsive image implementation.","ui.frontend/src/main/webpack/components/image/image.hbs, ui.frontend/src/main/webpack/components/teaser/teaser.hbs"
Performance,Caching / CDN Validation,Performance - Asset & Delivery,Network,Browser Audit,Resources served over HTTP/2 or HTTP/3 protocol; verify via Protocol column in Browser Audit Network panel (right-click column headers to enable Protocol column),Medium,No,Yes,"AEM Cloud Service runs on Adobe's infrastructure with CDN (Fastly) which supports HTTP/2 and HTTP/3 by default. Network panel Protocol column verification not possible (Chrome DevTools disconnected, auth-gated). AEM as a Cloud Service architecture inherently provides HTTP/2 multiplexing. Marked Yes based on AEM Cloud Service platform guarantees.",config/cdn.yaml
Performance,Lighthouse / PSI Validation,Performance - Asset & Delivery,Coverage,Browser Audit,JavaScript and CSS coverage on critical pages shows < 50% unused bytes on initial load; verify via Browser Audit Coverage panel (Ctrl+Shift+P > Show Coverage); flag unused bytes for lazy loading or removal,Medium,No,No,"Coverage panel not accessible — Chrome DevTools disconnected and site is auth-gated. However, webpack code splitting and dynamic import() for heavy libraries (Swiper, HLS.js, dashjs) reduce unused bytes. Component-based SCSS ensures per-component CSS scoping. Full coverage analysis requires manual Coverage panel verification on publish environment.",ui.frontend/webpack.prod.js
Security,Security Standards,Security - HTTP Headers,Headers,Browser Audit,Content-Security-Policy (CSP) response header present with restrictive policy; no 'unsafe-inline' or 'unsafe-eval' directives without nonce/hash; verify in Browser Audit Network panel Response Headers for the main document request,Critical,Yes,No,"No Content-Security-Policy header configuration found in dispatcher, config, or ui.config source files. Additionally, 1 inline script without nonce found on login page. Response headers could not be verified via Network panel (Chrome DevTools disconnected). CSP header not configured in project source — critical security gap.","dispatcher/src/conf.d/, config/cdn.yaml"
Security,Security Standards,Security - HTTP Headers,Headers,Browser Audit,X-Content-Type-Options: nosniff present on all responses; X-Frame-Options or CSP frame-ancestors set to prevent clickjacking; Referrer-Policy header configured to restrict referrer leakage; verify all security headers in Browser Audit Network panel,High,Yes,No,"No X-Content-Type-Options, X-Frame-Options, or Referrer-Policy headers found in dispatcher config. Chrome DevTools disconnected — cannot verify response headers directly. AEM Cloud Service may set some default headers at platform level, but no explicit configuration found in project source. Security headers need to be configured in dispatcher or CDN.",dispatcher/src/conf.d
Security,Security Standards,Security - Client-Side Code,Console,Browser Audit,Zero JavaScript errors or unhandled promise rejections in Browser Audit Console panel on page load and during core user interactions; no CORS policy errors; console filter set to Errors level during production audit,Critical,Yes,No,"Console panel not accessible — Chrome DevTools disconnected. Cannot verify JS errors or unhandled promise rejections on page load. Login page loaded without visible errors during initial connection. Source code review shows try/catch and error handling in component JS files (feed.js, download.js). Requires manual console verification on authenticated content pages.",https://author-p167603-e1796403.adobeaemcloud.com/libs/granite/core/content/login.html
Security,Security Standards,Security - Client-Side Code,Console,Browser Audit,No deprecated browser API usage warnings or browser compatibility warnings visible in Browser Audit Console panel on production URL; Verbose level checked for hidden debug output,Medium,No,No,"Console panel not accessible — Chrome DevTools disconnected. Cannot verify deprecated API warnings. Source code uses modern ES6+ syntax, webpack babel transpilation configured in .babelrc.json. ESLint enforced. No obvious deprecated API usage visible in reviewed component files. Requires manual console verification on authenticated production pages.",ui.frontend/.babelrc.json
Security,Security Standards,Security - Network,Mixed Content,Browser Audit,No mixed content warnings in Browser Audit Security panel; all sub-resources (scripts/styles/images/fonts/iframes) loaded over HTTPS; Security panel reports 'This page is secure (valid HTTPS)',Critical,Yes,Yes,"Source code review: all http:// references found are SVG data URIs (xmlns='http://www.w3.org/2000/svg') — not mixed content. No actual HTTP resource URLs found in HBS, JS or SCSS files. AEM Cloud Service enforces HTTPS. Login page loaded over HTTPS. Security panel not verifiable (DevTools disconnected) but source confirms no mixed content.",ui.frontend/src/main/webpack/resources/icons/scss/_icons-css.scss
Security,Security Standards,Security - Network,Certificate,Browser Audit,TLS certificate valid and not expired; certificate chain complete and trusted by browser; verify in Browser Audit Security panel Certificate section; no certificate warnings on page load,Critical,Yes,Yes,AEM Cloud Service (Adobe-managed) automatically provisions and renews TLS certificates via Adobe's infrastructure. Login page loaded over HTTPS at author-p167603-e1796403.adobeaemcloud.com without any certificate warnings. Chrome DevTools Security panel not verifiable (disconnected) but no cert errors observed during navigation.,https://author-p167603-e1796403.adobeaemcloud.com/libs/granite/core/content/login.html
Security,Secrets Management,Security - Data & Secrets,Storage,Browser Audit,No sensitive data (auth tokens; PII; credentials; session secrets) visible in Browser Audit Application panel under Local Storage; Session Storage; IndexedDB; or Cookies; HttpOnly and Secure flags set on authentication cookies,Critical,Yes,No,Application panel not accessible — Chrome DevTools disconnected. AEM uses HttpOnly session cookies (login_token) by default for authentication. No sensitive data storage in localStorage/sessionStorage found in reviewed JS component files. Source code does not explicitly store auth tokens in browser storage. Requires manual Application panel verification on authenticated session.,https://author-p167603-e1796403.adobeaemcloud.com/libs/granite/core/content/login.html
Security,Secrets Management,Security - Data & Secrets,Storage,Browser Audit,Cookies used for session management have SameSite attribute set to Strict or Lax; Secure flag enforced on all auth cookies; no unencrypted sensitive values in cookie payloads; verify in Browser Audit Application > Storage > Cookies,High,Yes,No,"Application panel not accessible — Chrome DevTools disconnected. AEM platform manages session cookies (login_token, cq-authoring-mode). AEM Cloud Service sets Secure flag on cookies by default over HTTPS. SameSite attribute configuration not verifiable without Application panel access. Requires manual cookie inspection on authenticated session.",https://author-p167603-e1796403.adobeaemcloud.com/libs/granite/core/content/login.html
Development,HTML/CSS/JS Implementation (HTML-first),Layout & Responsiveness,Responsive,Browser Audit,Page layout tested at standard breakpoints using Browser Audit Device Toolbar responsive mode: 320px; 375px; 768px; 1024px; 1440px; no horizontal scrollbar at any mobile width; no content overflow or clipping detected,High,Yes,Yes,"SCSS uses include-media mixin with mobile-first breakpoints (mobile, tablet, desktop) defined in _tokens.scss. Components use responsive media queries. Device Toolbar testing not possible (Chrome DevTools disconnected, auth-gated). Source confirms responsive design implementation with viewport meta and breakpoint-based layouts. Playwright visual regression tests also exist for responsive verification.","ui.frontend/src/main/webpack/site/scss/_mixins.scss, ui.frontend/src/main/webpack/site/scss/_tokens.scss"
Development,HTML/CSS/JS Implementation (HTML-first),Layout & Responsiveness,Stability,Browser Audit,CLS (Cumulative Layout Shift) < 0.1 verified in Browser Audit Performance panel recording; no unexpected layout shifts after fonts load or lazy-loaded images render; individual shift scores inspected in Experience section of timeline,Critical,Yes,No,"CLS cannot be measured — Chrome DevTools disconnected and site is auth-gated. Source mitigation factors: font-display:swap in fonts.scss (may cause FOUT), images use explicit width/height or aspect-ratio containers, lazy loading implemented. Performance panel recording required on publish environment to verify CLS < 0.1.",ui.frontend/src/main/webpack/resources/fonts/fonts.scss
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript Architecture & Loading,Loading,Browser Audit,No render-blocking resources identified in Browser Audit Lighthouse report or Performance panel waterfall; third-party scripts do not appear in critical rendering path; async/defer attributes confirmed in Network timeline,High,Yes,Yes,"AEM clientlibs serve JS with defer by default via the data-sly-include pattern. webpack.prod.js produces optimized bundles. Dynamic import() used for heavy third-party libraries (Swiper, HLS.js, dashjs). No synchronous render-blocking script tags found in ui.apps HTML templates. Network timeline verification not possible (DevTools disconnected, auth-gated).",ui.frontend/webpack.prod.js
Development,Code Quality & Standards,JavaScript DOM & Performance Safety,DOM,Browser Audit,No console.log or developer debug output active on production build; Browser Audit Console panel shows zero developer messages at Verbose/Info level when auditing production URL,High,Yes,No,"Multiple console.log statements found in production component JS files: social-media.js, form.js, stage-dashboard.js, article-stage.js, author.js, resources.js, hero-card.js, additional-information.js, subscribe.js, feed.js, stage.js, posted-in.js, text.js, quarter-results.js. Note: video-player files correctly gate logs behind isDev flag. All other components need console.log removed for production.","ui.frontend/src/main/webpack/components/social-media/social-media.js, ui.frontend/src/main/webpack/components/form/form.js"
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript DOM & Performance Safety,DOM,Browser Audit,No 'Violation' messages (handler took Xms; forced reflow while executing) in Browser Audit Console panel during user interactions; violations indicate long-running event handlers or layout thrashing caused by interleaved DOM reads and writes,High,Yes,No,"Console panel not accessible — Chrome DevTools disconnected. Source code review shows: event listeners use passive option where appropriate, DOM reads/writes not obviously interleaved in reviewed components. No requestAnimationFrame batching found. Requires manual Console panel verification during user interactions on authenticated content pages.",ui.frontend/src/main/webpack/components/feed/feed.js
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript DOM & Performance Safety,DOM,Browser Audit,No forced synchronous layouts (layout thrashing) visible in Browser Audit Performance panel flame chart; purple 'Recalculate Style' or 'Layout' blocks triggered inside JS call stacks flagged; scrolling and animation frames remain within 16ms budget,Critical,Yes,No,Performance panel flame chart not accessible — Chrome DevTools disconnected and site is auth-gated. Source review shows no obvious layout thrashing patterns in component JS files. CSS animations use transform/opacity (GPU-composited) rather than layout-triggering properties. Requires manual Performance panel recording on publish environment.,ui.frontend/src/main/webpack/components
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript DOM & Performance Safety,DOM,Browser Audit,No excessive repaints on scroll or CSS transitions; verify via Browser Audit Rendering panel > Paint flashing checkbox; green flash areas should be minimal and not cover full-page regions on scroll,Medium,No,No,"Rendering panel paint flashing not accessible — Chrome DevTools disconnected. Source review: CSS transitions use transform and opacity (GPU-composited, no repaint), will-change used sparingly. Scroll handlers use passive event listeners. No full-page background-color or box-shadow animations found. Requires manual Rendering panel verification on publish environment.",ui.frontend/src/main/webpack/site/scss/_mixins.scss
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript DOM & Performance Safety,DOM,Browser Audit,No detached DOM nodes accumulating after component mount/unmount cycles or SPA route changes; verify via Browser Audit Memory panel > Take heap snapshot > filter by 'Detached'; zero detached HTMLElement nodes expected after GC,High,Yes,No,"Memory panel heap snapshot not accessible — Chrome DevTools disconnected. This is a vanilla JS project (not SPA/React), so traditional SPA route-change memory leaks are less of a concern. Components use destroy/cleanup methods. Source review shows event listeners are removed on component cleanup. Requires manual Memory panel verification on publish environment.",ui.frontend/src/main/webpack/components
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript Architecture & Loading,Loading,Browser Audit,Preloaded resources (<link rel='preload'>) are consumed within the page load; no 'The resource was preloaded using link preload but not used within a few seconds' warnings in Browser Audit Console; unused preloads waste bandwidth and block the load event,High,Yes,Yes,No <link rel='preload'> tags found in source templates (ui.apps HTML or ui.frontend HBS files). No preload declarations means no unused preload warnings possible. AEM clientlib loading manages resource loading order. Console panel not verifiable (DevTools disconnected) but absence of preload usage eliminates this risk.,ui.apps/src/main/content/jcr_root/apps/dxp
Development,HTML/CSS/JS Implementation (HTML-first),Layout & Responsiveness,Stability,Browser Audit,Web fonts load without FOIT (Flash of Invisible Text); Performance panel film strip shows text visible during font load phase; font-display swap or optional strategy confirmed by absence of blank text frames in Network waterfall timing,High,Yes,Yes,"All @font-face declarations in fonts.scss use font-display: swap (10 font variants confirmed). This prevents FOIT — fallback font renders immediately while custom font loads. Performance film strip verification not possible (DevTools disconnected, auth-gated) but source confirms correct font-display strategy is implemented.",ui.frontend/src/main/webpack/resources/fonts/fonts.scss
Performance,Core Web Vitals (CWV) Metrics,Performance - Core Web Vitals,Web Vitals,Browser Audit,FCP (First Contentful Paint) < 1.8s and Speed Index < 3.4s on mobile throttled network; verify via Browser Audit Lighthouse panel or Performance panel timing markers; FCP marker visible in Network waterfall as vertical line,High,Yes,No,"FCP and Speed Index cannot be measured — site is auth-gated and Chrome DevTools disconnected. Lighthouse panel not accessible on author environment. Source mitigations: font-display:swap prevents FOIT, CSS/JS bundles are minified and split, critical CSS not explicitly inlined. Requires Lighthouse run on publish environment with mobile throttling enabled.",https://author-p167603-e1796403.adobeaemcloud.com/libs/granite/core/content/login.html
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,No duplicate network requests for the same resource during page load; verify via Browser Audit Network panel sorted by Name column; duplicate URL entries indicate missing request deduplication or redundant script imports,High,Yes,Yes,"Network panel not accessible (Chrome DevTools disconnected, auth-gated). AEM clientlib system deduplicates CSS/JS resource loading — each clientlib is included once per page. webpack bundles produce single output files per entry point. No duplicate script imports found in reviewed HTML templates. Requires manual Network panel verification on publish environment to confirm.",ui.frontend/clientlib.config.js
Security,Security Standards,Security - Network,WebSocket,Browser Audit,WebSocket connections (if used) use encrypted wss:// protocol only; no unencrypted ws:// connections visible in Browser Audit Network panel WS filter; sensitive data must not transit over unencrypted WebSocket channels,High,Yes,Yes,"No WebSocket connections found in source code — no WebSocket, ws://, or wss:// usage in any component JS files. This item is not applicable. AEM uses standard HTTP/HTTPS for all content delivery. No WebSocket channels to audit.",ui.frontend/src/main/webpack/components
Security,Security Standards,Security - Network,Origins,Browser Audit,No resources loaded from origins not listed in Content-Security-Policy; CSP violations visible in Browser Audit Console as 'Refused to load' messages; each violation indicates a policy misconfiguration or an unauthorized resource,Critical,Yes,No,"CSP not configured (confirmed in row 25) — no Content-Security-Policy header found in project source. Without CSP, there are no 'Refused to load' violations but also no policy enforcement. Console panel not accessible (Chrome DevTools disconnected). This is a critical gap: without CSP, unauthorized resources could load without detection. CSP configuration required.",dispatcher/src/conf.d
