key,value
code.css.tokens.hardcodedHexOrRgbCount,
code.css.tokens.hardcodedPixelSpacingCount,
code.css.maintainability.namingConventionsConsistent,
code.css.maintainability.classNamesAvoidColorOrPosition,
code.css.maintainability.selectorsColocatedInSameFile,
code.css.maintainability.printStylesheetHidesNonEssential,
code.css.layout.modernLayoutUsed,
code.css.layout.mobileFirstMediaQueries,
code.css.layout.standardBreakpointsOnly,
code.css.layout.responsiveImagesByDefault,
code.css.layout.zIndexEscalationIssues,
code.css.performance.noExpensiveBoxShadows,
code.css.performance.noHeavyCssFilters,
code.css.performance.noInfiniteAnimationsOnNonLoaders,
code.css.performance.cssCompatibilityIssuesCount,
code.css.performance.vendorPrefixIssues,
code.css.quality.duplicateCssRulesCount,
code.css.quality.unusedCssSelectorsCount,
code.css.quality.propertyOrderingConsistent,
code.javascript.loading.noBlockingScriptsInHead,
code.javascript.loading.asyncOrDeferUsed,
code.javascript.loading.thirdPartyScriptsLazyLoaded,
code.javascript.loading.noUnusedModulesLoaded,
code.javascript.loading.noMarketingTagsInHead,
code.javascript.loading.userFacingStringsUseI18nKeys,
code.javascript.loading.noBinariesInRepo,
code.javascript.loading.errorMessagesFollowPattern,
code.javascript.dom.noTightDomCoupling,
code.javascript.dom.noForcedSyncLayoutsInCode,
code.javascript.dom.timerLeaksCount,
code.javascript.dom.pollingWithoutObserverCount,
code.javascript.dom.prefersNativeBrowserApis,
code.javascript.dom.modernEs6SyntaxUsed,
code.javascript.state.noMemoryLeakRisks,
code.javascript.state.eventListenersCleanedUp,
code.javascript.state.asyncAwaitUsed,
code.javascript.state.promisesHandledCorrectly,
code.javascript.state.stateMutationThroughSetters,
code.javascript.state.noSharedStateMutation,
code.javascript.state.noSideEffectsInPureFunctions,
code.javascript.state.consistentReturnTypes,
code.javascript.state.noStateMutationInLoops,
code.javascript.structure.globalVariablesCount,
code.javascript.structure.jsScopedToComponent,
code.javascript.structure.codingStyleConsistent,
code.javascript.structure.deeplyNestedCallbacksCount,
code.javascript.structure.callChainDepthWithinLimit,
code.javascript.structure.inputValidationPresent,
code.javascript.structure.noUnreachableCode,
code.javascript.structure.noEmptyCatchBlocks,
code.javascript.structure.noUnusedNpmPackages,
code.javascript.structure.noUnusedComponentProps,
code.accessibility.wcag.wcag21AAComplianceMet,
code.accessibility.wcag.dynamicContentChangesAnnounced,
code.accessibility.components.modalDialogAriaCorrect,
code.accessibility.components.videoCaptionsPresent,
code.accessibility.components.audioTranscriptsPresent,
code.accessibility.components.noFocusTrapMisuse,
code.accessibility.css.visibleFocusStylesPresent,
code.accessibility.css.hoverRulesHaveFocusEquivalent,
code.accessibility.css.visuallyHiddenPatternCorrect,
code.security.clientCode.noEvalOrFunctionString,
code.security.clientCode.noDocumentWrite,
code.security.clientCode.externalScriptsHaveSri,
code.security.clientCode.noUnsanitizedInnerHtml,
code.security.secrets.noHardcodedApiKeys,
code.security.secrets.noCredentialsInUrls,
code.security.secrets.noSensitiveDataInComments,
code.security.secrets.noInsecureStorageForSecrets,
code.security.secrets.noPiiInStorageWithoutConsent,
code.security.dependencies.noKnownVulnerableDependencies,
code.security.input.noSensitiveDataInClientVisibleAttributes,
code.quality.hygiene.lintErrorsCount,
code.quality.hygiene.unusedVariablesCount,
code.quality.hygiene.unusedFunctionsCount,
code.quality.hygiene.unusedImportsCount,
code.quality.hygiene.deadCodePathsCount,
code.quality.hygiene.deadCodeFilesCount,
code.quality.hygiene.commentedOutCodeCount,
code.quality.hygiene.implicitGlobalsCount,
code.quality.hygiene.fileStructureConsistent,
code.quality.hygiene.duplicateConstantsCount,
code.quality.readability.variableNamingViolationsCount,
code.quality.readability.functionNamingViolationsCount,
code.quality.readability.namingConventionsConsistent,
code.quality.readability.complexConditionsCount,
code.quality.readability.missingGuardClausesCount,
code.quality.readability.oversizedFilesOrFunctionsCount,
code.quality.readability.singleResponsibilityViolationsCount,
code.quality.readability.readmePresent,
code.quality.reliability.inconsistentErrorHandlingCount,
code.quality.reliability.poorErrorLoggingCount,
code.quality.reliability.ungracefulErrorsCount,
code.quality.reliability.magicNumbersCount,
code.quality.reliability.uncentralizedConstantsCount,
code.quality.reliability.hardcodedBehaviorCount,
code.quality.reliability.duplicatedUtilitiesCount,
code.quality.reliability.duplicateCodePercent,
code.quality.architecture.hardcodedEnvValuesCount,
code.quality.architecture.circularDependenciesCount,
code.quality.architecture.staleTodoFixmeCount,
code.governance.vcs.gitRepositoryInitialized,
code.governance.vcs.gitignorePresent,
code.governance.vcs.lockfileCommitted,
code.governance.quality.preCommitHooksConfigured,
code.governance.config.nodeVersionSpecified,
code.governance.genai.noMockDataInProduction,
manual.discovery.businessObjectivesAndKpisDefined,
manual.discovery.targetAudienceAndPersonasDefined,
manual.discovery.cdnProviderAndRepoIdentified,
manual.discovery.edsAuthoringAndContentRequirementsDefined,
manual.discovery.edsBlockRequirementsAndStructureDefined,
manual.discovery.integrationAndMarTechRequirementsDefined,
manual.discovery.nonFunctionalRequirementsDefined,
manual.discovery.seoRoutingAndLocalizationDefined,
manual.design.hldDocumented,
manual.design.blockAndFragmentDesignComplete,
manual.design.performanceByDesignGoalsDefined,
manual.design.responsiveAndAccessibilityStrategyDefined,
manual.design.seoAndErrorStrategyDesigned,
manual.setup.cdnConfigured,
manual.setup.repoAndContentSourceConfigured,
manual.setup.aemSidekickInstalledAndConfigured,
manual.setup.ciCdPipelineConfigured,
manual.setup.devStagingProdEnvironmentsSetUp,
manual.setup.prProcessAndBranchingStrategyDefined,
manual.setup.i18nAndTranslationSetup,
manual.visualDesign.uiMatchesDesignMockupsAtAllViewports,
manual.visualDesign.brandingAndInteractiveStatesConsistent,
manual.userExperience.coreUserFlowsIntuitive,
manual.userExperience.loadingEmptyErrorStatesPresent,
manual.userExperience.formValidationUxVerified,
manual.contentQuality.copySpellingGrammarLegalTextVerified,
manual.contentQuality.cookieConsentMeetsGdprCcpa,
manual.testing.contentPreviewAndPublishWorkflowValidated,
manual.testing.functionalAndE2ETestingComplete,
manual.testing.unitTestsAutomatedInCiCd,
manual.testing.rumSetUpAndConfigured,
manual.testing.crossBrowserAndDeviceTestingComplete,
manual.security.apiEndpointsSecured,
manual.security.rbacImplemented,
manual.security.dataEncryptionAndGdprCompliant,
manual.security.secretsManagementAndPenTestingDone,
manual.authorValidation.authorTrainingAndSidekickVerified,
manual.authorValidation.authorWorkflowValidatedInDocsSheets,
manual.authorValidation.blockUsabilityReviewComplete,
manual.authorValidation.documentToWebRenderingValidated,
manual.performance.cdnCachingStrategyValidated,
manual.performance.rumMonitoringAndAlertsConfigured,
manual.performance.aboveTheFoldLoadsWithin2500ms,
manual.accessibility.screenReaderTestingComplete,
manual.accessibility.keyboardOnlyNavigationTested,
manual.accessibility.axeWaveToolsRunAndRemediated,
manual.i18n.rtlLayoutVerified,
manual.i18n.textExpansionDoesNotBreakLayout,
manual.i18n.localeFormattingCorrect,
manual.architectureReview.designTokensMatchFigma,
manual.architectureReview.webfontStrategyReviewed,
manual.preGoLive.cdnCachingAndDnsFinalized,
manual.preGoLive.deploymentAndRollbackPlanCreated,
manual.preGoLive.previewAndLiveDomainValidated,
manual.preGoLive.finalE2eSmokeLoadTestingComplete,
manual.preGoLive.seoLaunchReadinessVerified,
manual.postGoLive.centralizedLoggingAndAlertsConfigured,
manual.postGoLive.cwvRumCdnMonitoringSetup,
manual.postGoLive.authorSupportAndHelpdeskEstablished,
manual.postGoLive.incidentResponseAndSlasDefined,
manual.postGoLive.seoIndexingAndAnalyticsMonitored,
manual.postGoLive.continuousImprovementPlanInPlace,
manual.governance.projectManagementToolActivelyUsed,
manual.governance.codeReviewProcessWithSlaDefined,
manual.governance.qaEnvironmentMirrorsProduction,
manual.governance.genAiGovernancePolicyDocumented,
risk.discovery,
risk.contentQuality,
risk.internationalization,
risk.design,
risk.userExperience,
risk.visualDesign,
risk.setup,
risk.development,Medium
risk.architectureReview,
risk.testing,
risk.security,High
risk.performance,High
risk.accessibility,Medium
risk.authorValidation,
risk.preGoLive,
risk.postGoLive,
risk.processGovernance,Medium
status.ragRating,Amber
status.goLiveReady,No
status.mandatoryPassRate,71.2
status.criticalPassRate,72.9
status.highPassRate,70.7
status.totalBlockingIssues,47
trend.totalIssues,56
trend.criticalIssues,13
trend.overallCompliance,65
trend.accessibilityCompliance,72.7
trend.performanceCompliance,54.2
trend.securityCompliance,56.5
trend.developmentCompliance,76.1
topIssues.count,
topIssues.1.auditType,
topIssues.1.phase,
topIssues.1.group,
topIssues.1.subGroup,
topIssues.1.severity,
topIssues.1.mandatory,
topIssues.1.description,
topIssues.1.evidence,
topIssues.2.auditType,
topIssues.2.phase,
topIssues.2.group,
topIssues.2.subGroup,
topIssues.2.severity,
topIssues.2.mandatory,
topIssues.2.description,
topIssues.2.evidence,
topIssues.3.auditType,
topIssues.3.phase,
topIssues.3.group,
topIssues.3.subGroup,
topIssues.3.severity,
topIssues.3.mandatory,
topIssues.3.description,
topIssues.3.evidence,
topIssues.4.auditType,
topIssues.4.phase,
topIssues.4.group,
topIssues.4.subGroup,
topIssues.4.severity,
topIssues.4.mandatory,
topIssues.4.description,
topIssues.4.evidence,
topIssues.5.auditType,
topIssues.5.phase,
topIssues.5.group,
topIssues.5.subGroup,
topIssues.5.severity,
topIssues.5.mandatory,
topIssues.5.description,
topIssues.5.evidence,
topIssues.6.auditType,
topIssues.6.phase,
topIssues.6.group,
topIssues.6.subGroup,
topIssues.6.severity,
topIssues.6.mandatory,
topIssues.6.description,
topIssues.6.evidence,
topIssues.7.auditType,
topIssues.7.phase,
topIssues.7.group,
topIssues.7.subGroup,
topIssues.7.severity,
topIssues.7.mandatory,
topIssues.7.description,
topIssues.7.evidence,
topIssues.8.auditType,
topIssues.8.phase,
topIssues.8.group,
topIssues.8.subGroup,
topIssues.8.severity,
topIssues.8.mandatory,
topIssues.8.description,
topIssues.8.evidence,
topIssues.9.auditType,
topIssues.9.phase,
topIssues.9.group,
topIssues.9.subGroup,
topIssues.9.severity,
topIssues.9.mandatory,
topIssues.9.description,
topIssues.9.evidence,
topIssues.10.auditType,
topIssues.10.phase,
topIssues.10.group,
topIssues.10.subGroup,
topIssues.10.severity,
topIssues.10.mandatory,
topIssues.10.description,
topIssues.10.evidence,
components.count,
components.1.name,
components.1.path,
components.1.failedChecks,
components.1.criticalFailures,
components.1.healthScore,
components.2.name,
components.2.path,
components.2.failedChecks,
components.2.criticalFailures,
components.2.healthScore,
components.3.name,
components.3.path,
components.3.failedChecks,
components.3.criticalFailures,
components.3.healthScore,
components.4.name,
components.4.path,
components.4.failedChecks,
components.4.criticalFailures,
components.4.healthScore,
components.5.name,
components.5.path,
components.5.failedChecks,
components.5.criticalFailures,
components.5.healthScore,
