Phase,Category,Group,Sub-Group,Audit Type,Checklist Item,Importance,Mandatory,Implemented? (Yes / No),Comments,Evidence
Development,Code Quality & Standards,HTML Forms & Inputs,Forms,Code Audit,Avoid inline styles,Medium,No,No,"39 inline style assignments in blocks JS. Most are acceptable functional patterns (display:none toggling, overflow:hidden for scroll locking, dynamic pixel heights). However, some set layout properties like justifyContent, marginTop, and paddingRight that should be in CSS classes. commerce-confirm-account.js and commerce-create-password.js are the main offenders.","blocks/commerce-confirm-account/commerce-confirm-account.js:49-51, blocks/commerce-create-password/commerce-create-password.js:49-51"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Forms & Inputs,Forms,Code Audit,Accessible names for interactive elements,Critical,Yes,Yes,"Most interactive elements have accessible names: buttons use textContent or aria-label (Close, Zoom image, Toggle order summary, Cart, Go back, etc). Icon-only close button in modal.js has aria-label='Close'. mobileToggle has visible text 'ACCOUNT MENU'. feedbackButton has textContent 'Feedback'. Tooltip buttons use aria-label with contextual text. No unnamed interactive elements found in custom blocks.","blocks/modal/modal.js:17, blocks/header/header.js:441, blocks/product-details/product-details.js:889"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Media & Data,Images,Code Audit,Images with role='presentation' or aria-hidden='true' have empty alt; standalone <img> without adjacent text and without alt flagged; hero/banner images verified to have non-empty alt >10 chars; <img> in decorative containers verified to have empty alt or role='presentation',High,Yes,Yes,"Good alt text practices found. Decorative/icon images use alt="""" with aria-hidden=""true"" (tooltip icons, pencil edit icons, banner icons). Content images in product-details use descriptive alt text (product title, product name). No standalone img elements without alt attribute found.","blocks/product-details/product-details.js:890,1535; blocks/commerce-checkout/fragments.js:102-159"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Media & Data,Images,Code Audit,Alt text is not a filename or path; not generic (image/photo/icon/picture/graphic/banner/logo without qualifier); between 5-125 characters; does not duplicate adjacent text content; does not begin with 'image of'/'picture of'/'photo of'; alt on linked images describes destination,Critical,Yes,Yes,"All non-empty alt text values are meaningful: product names/titles from API data (pkg.name, value.title, selectedPrinter.name), product list uses label or falls back to product name. Hardcoded alt 'Shop Products' is descriptive. No filenames, generic terms, or 'image of' prefixes found. Alt lengths look reasonable (product names typically 10-80 chars).","blocks/product-list/product-list.js:176, blocks/product-details/product-details.js:1247"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Media & Data,Tables,Code Audit,Tables use thead and tbody,High,Yes,Yes,"No custom table elements found in blocks JS or HTML. No table, thead, or tbody created in any block. Not applicable to this codebase.",
Development,HTML/CSS/JS Implementation (HTML-first),HTML Media & Data,Tables,Code Audit,Table headers use th,High,Yes,Yes,No custom table elements found in blocks. Not applicable.,
Development,HTML/CSS/JS Implementation (HTML-first),HTML Media & Data,Lists,Code Audit,Lists use ul or ol correctly,High,Yes,Yes,"ul/ol/li used correctly throughout. Cards block wraps card items in ul>li. Carousel slides use ul>li, indicators use ol>li. Header nav items use li. pdp-tabs uses ul>li for tab list. All list elements are properly nested.","blocks/cards/cards.js:5-7, blocks/carousel/carousel.js:84,129,140"
Development,Technical SEO Implementation (meta/schema/sitemap),HTML Metadata & Validation,Metadata,Code Audit,Page <title> exists; is >10 characters; not a default value (Untitled/Document/Home/Page/Website/Welcome); follows consistent pattern across site (e.g. 'Page - Site' or 'Page | Site' separator detected),Critical,Yes,Yes,"Static HTML pages have descriptive titles: ""Page not found"" (404.html, 15 chars) and ""Invalid Site Configuration"" (418.html, 26 chars). Neither is a default/generic value. EDS page titles are set via document metadata from content source. No title suffix pattern enforced in code — consistency depends on content authoring convention.","404.html:10, 418.html:4"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,Metadata,Code Audit,Meta viewport configured correctly,High,Yes,Yes,"All HTML files include correct viewport meta: width=device-width, initial-scale=1 (or 1.0). head.html (the EDS shared head fragment) also has this set correctly.","head.html:6, 404.html:25, 418.html:14"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,IDs,Code Audit,No duplicate IDs,Critical,Yes,No,"Potential duplicate ID: 'mini-pdp-modal' is set by both commerce-mini-cart.js and commerce-cart.js. If both blocks appear on the same page, this creates a duplicate ID. Similarly 'signin-modal'/'signin-form' appears in two blocks. Carousel, tabs, and form input IDs use dynamic/unique values. Static IDs like nav, feedbackLinkHead, comparison-modal appear once per page.","blocks/commerce-mini-cart/commerce-mini-cart.js:121, blocks/commerce-cart/commerce-cart.js:145"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,Validation,Code Audit,No invalid HTML nesting,Critical,Yes,Yes,"Reviewed all innerHTML template strings in blocks. No invalid nesting detected: div/span containers are used for block elements, anchor tags are not nested, li>a patterns are valid, p tags do not contain block elements. Static HTML pages (404, 418) have valid structure with main>div>h2/p nesting.","blocks/product-details/product-details.js:204-216, blocks/header/renderAuthCombine.js:226"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,Validation,Code Audit,HTML validates without errors,Critical,Yes,Yes,"Both static HTML files use correct HTML5 DOCTYPE. Only validator available is a 2006 HTML Tidy (pre-HTML5) which raises false positives for semantic elements (header, main, footer, svg). No actual structural HTML errors found on manual inspection: proper nesting, closed tags, valid attributes. npm html-validate not installed; W3C validator not reachable from local audit. Marking as pass based on manual inspection.","404.html:1, 418.html:1"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,ARIA,Code Audit,ARIA roles do not duplicate native semantics,High,Yes,No,"role=""dialog"" on a native <dialog> element is redundant (dialog already has implicit dialog role). role=""region"" on div carousel is acceptable. role=""tablist/tab/tabpanel"" on ul/li/div is correct ARIA tab pattern. role=""alert"" on notification divs is correct. The redundant role=""dialog"" on modal.js is a minor issue but not harmful.","blocks/modal/modal.js:8, blocks/pdp-tabs/pdp-tabs.js:148-190"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,ARIA,Code Audit,Avoid misuse of ARIA roles,High,Yes,Yes,"All ARIA roles are used correctly: alert on notification divs, region on carousel landmark, dialog on div popups (valid - these are div not native dialog), tablist/tab/tabpanel forming a proper tab widget. No misuse such as role=""button"" on non-interactive elements or role=""heading"" without level found.","blocks/pdp-tabs/pdp-tabs.js:148-190, blocks/commerce-checkout/canon-shipping.js:155"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,ARIA,Code Audit,ARIA used only when necessary,Medium,No,Yes,"ARIA usage is targeted and purposeful. aria-label (31) used where native text is absent. aria-hidden (31) marks decorative icons. aria-expanded (19) on disclosure widgets. aria-live (4) for dynamic regions. aria-modal (3) for dialogs. No excessive or unnecessary ARIA layering over elements that already have native semantics (except the noted role=""dialog"" on native dialog).",blocks/ (grep aria-)
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,Metadata,Code Audit,Meta tags do not block zoom,Medium,No,Yes,"No user-scalable=no or maximum-scale restrictions found in any meta viewport tags. All viewport meta uses only width=device-width, initial-scale=1. Zoom is not blocked.","head.html:6, 404.html:25, 418.html:14"
Development,Technical SEO Implementation (meta/schema/sitemap),HTML Metadata & Validation,Links,Code Audit,No broken links (run broken-link-checker or linkinator CLI against local build or source HTML),High,Yes,Yes,"No hardcoded broken links found in source. All hrefs are either root-relative (/), fragment-based (#), or dynamic runtime values. linkinator requires a running server; no local build available to crawl. No dead href literals detected in static HTML or JS templates. Cannot fully verify live links without runtime environment.","blocks/ (grep href=), 404.html, 418.html"
Development,Code Quality & Standards,CSS Architecture & Tokens,Design Tokens,Code Audit,CSS variables used for all colors,Critical,Yes,No,"20 hardcoded color values found across block CSS files, not using CSS variables. Offenders include: pdp-tabs.css (#fff, #959595, #4d4d4d), product-details.css (#dbe5f7), hero.css (#d6dbe2, #424242), commerce-account-sidebar.css (#1a1a1a, #9e9b9b, #B8BECA), product-list.css (#f8f8f8), commerce-checkout.css (#5c6bc0), header.css (#d6dbe2). Overlay rgba values (rgb(0 0 0 / 50%)) and semi-transparent blacks are borderline acceptable but should use CSS vars.","blocks/pdp-tabs/pdp-tabs.css:4-25, blocks/product-details/product-details.css:1030, blocks/hero/hero.css:73-93"
Development,Code Quality & Standards,CSS Architecture & Tokens,Design Tokens,Code Audit,CSS variables used for spacing scale,High,Yes,No,"CSS spacing token scale is defined in styles.css (--spacing-xxsmall through --spacing-xxhuge). However, ~200 hardcoded spacing values (px/rem/em) found in block CSS files, not using these tokens. Examples: footer.css (40px, 32px, 16px), accordion.css (24px, 46px), carousel.css (68px, 92px), commerce-customer-information.css (42px, 30px, 60px). Widespread failure to adopt the spacing scale.","blocks/footer/footer.css:31-42, blocks/accordion/accordion.css:7-41, styles/styles.css (--spacing-* tokens)"
Development,Code Quality & Standards,CSS Architecture & Tokens,Design Tokens,Code Audit,CSS variables used for typography scale,High,Yes,No,"Typography tokens defined in styles.css (--font-xxs through --font-6xl, --font-weight-regular/semibold/bold). However, ~103 hardcoded typography values found in blocks, ignoring these tokens. Examples: tech-specs.css (1.68rem, 1.4rem, 2.24rem, 4.6rem), product-details.css (11px, 0.8rem), commerce-cart.css (font-weight:600 instead of var(--font-weight-semibold)). Consistent token adoption is missing.","blocks/tech-specs/tech-specs.css:20-139, styles/styles.css (--font-* tokens)"
Development,Code Quality & Standards,CSS Architecture & Tokens,Design Tokens,Code Audit,No hardcoded hex/rgb color values,Critical,Yes,No,"43 hardcoded hex/rgb color values found in block CSS files (same finding as row 27). Most impacted files: header.css, pdp-tabs.css, product-details.css, hero.css, commerce-account-sidebar.css, product-list.css, carousel.css, modal.css. Color tokens exist in styles.css but are not being used consistently in block-level CSS.","blocks/pdp-tabs/pdp-tabs.css, blocks/hero/hero.css, blocks/commerce-account-sidebar/commerce-account-sidebar.css"
Development,Code Quality & Standards,CSS Architecture & Tokens,Design Tokens,Code Audit,No hardcoded pixel spacing where tokens exist,High,Yes,No,Same finding as row 28. ~200 hardcoded px/rem spacing values across blocks instead of using --spacing-* tokens. Tokens are defined (--spacing-xxsmall: 4px through --spacing-xxhuge: 192px) but widely ignored. See row 28 for full details.,"blocks/footer/footer.css, blocks/accordion/accordion.css, blocks/carousel/carousel.css"
Development,Code Quality & Standards,CSS Architecture & Tokens,Maintainability,Code Audit,Consistent naming conventions,High,Yes,Yes,"Naming is predominantly BEM/kebab-case (block__element--modifier) and consistent. One violation: 'authCombineNavElement' (camelCase) used as a class in renderAuthCombine.js, breaking the kebab-case convention. CSS custom properties use consistent --property-name format. JS variables follow camelCase internally. Minor single-class inconsistency.",blocks/header/renderAuthCombine.js:224
Development,Code Quality & Standards,CSS Architecture & Tokens,Maintainability,Code Audit,Class names do not contain hex values or color names as identifiers; no purely positional names (left1/col2); BEM or project naming convention pattern enforced,High,Yes,Yes,"No class names containing hex values, color names, or positional identifiers (left1/col2) found. Names like 'commerce-customer-information-row--bordered' and 'checkout__credit-application-check' are semantic. BEM/kebab-case convention followed consistently across blocks.",blocks/ (grep classList.add)
Development,Code Quality & Standards,CSS Architecture & Tokens,Maintainability,Code Audit,CSS selectors for same component co-located in same file; no duplicate selectors scattered across files; related rules grouped by component,Medium,No,Yes,Each block has a single co-located CSS file (one CSS per block directory). No block styles found scattered across global stylesheets. No duplicate selectors across files for the same component. EDS architecture enforces this pattern by design.,blocks/ directory structure — one .css per block
Development,HTML/CSS/JS Implementation (HTML-first),Layout & Responsiveness,Layout,Code Audit,Layout containers use display:flex or display:grid; no float:left/right for multi-column layouts; no display:table for non-tabular content; absolute positioning in <5% of layout containers,Medium,Yes,Yes,"Layout uses flex (208 instances) and grid across blocks — no float:left/right or display:table for layout. 48 position:absolute instances exist (~11.6% of display declarations) but inspection shows these are all legitimate UI overlay uses: carousel nav arrows, accordion expand icon, modal close button, dropdown menus, hero text overlay, loading spinner. None are multi-column layout containers.","blocks/ (grep display:flex/grid), blocks/carousel/carousel.css, blocks/modal/modal.css"
Development,HTML/CSS/JS Implementation (HTML-first),Layout & Responsiveness,Responsive,Code Audit,min-width media queries outnumber max-width queries; base styles (outside media queries) target mobile viewport dimensions,Critical,Yes,Yes,Mobile-first approach confirmed. 44 min-width media queries vs only 3 max-width queries across blocks and styles CSS. Base styles outside media queries target mobile viewport. Strong mobile-first implementation.,blocks/ + styles/ (grep @media min-width/max-width)
Development,HTML/CSS/JS Implementation (HTML-first),Layout & Responsiveness,Responsive,Code Audit,Standard breakpoints only,High,Yes,Yes,"Breakpoints are mostly standard: 900px (primary), 768px, 600px, 1200px, 1024px. Minor deviations: header.css uses max-width:899px (companion to 900px min-width boundary), max-height:819px (height query — legitimate for fixed-height UI), and checkout-success.css uses min-width:320px/max-width:768px range. No arbitrary one-off breakpoints for content.","blocks/header/header.css:860,1061, blocks/commerce-checkout-success/commerce-checkout-success.css:59"
Development,HTML/CSS/JS Implementation (HTML-first),Layout & Responsiveness,Responsive,Code Audit,Responsive images by default,High,Yes,Yes,Responsive images implemented at multiple levels: EDS createOptimizedPicture() generates picture elements with srcset and webp sources; styles.css sets main img { max-width: 100% } globally. Product images use explicit width/height attributes. Strong responsive image implementation.,"scripts/aem.js:308-360, styles/styles.css:601-602"
Development,Code Quality & Standards,Layout & Responsiveness,Layering,Code Audit,Avoid z-index escalation,Medium,No,No,"Z-index escalation found. Values range from 0–9999 with arbitrary jumps: commerce-account-sidebar uses 9999 (panel) and 9998 (overlay), header uses 9999 for nav. No CSS custom properties or z-index scale used. Values like 9999/9998 are a sign of escalation workarounds. Checkout uses 1000 for a dialog overlay. No tokens for layering management.","blocks/commerce-account-sidebar/commerce-account-sidebar.css:37,55; blocks/header/header.css:264"
Development,Code Quality & Standards,Performance & Misc - CSS,Performance,Code Audit,Avoid expensive box-shadows,Medium,No,Yes,"Box shadows are minimal and performant: small blur radii (2–12px), low opacity (8–18%). No large spread values or multiple stacked shadows. Two blocks use CSS token var(--shape-shadow-2). Box shadow transitions exist but are short (0.15–0.2s ease). No expensive filter:drop-shadow found.","blocks/product-details/product-details.css:21,294; blocks/header/header.css:1166"
Development,Code Quality & Standards,Performance & Misc - CSS,Performance,Code Audit,Avoid heavy CSS filters,Medium,No,Yes,"Only two CSS filters used: filter:invert(1) on a single icon in product-details (simple inversion), filter:grayscale(100%) on product-list images (single function). No backdrop-filter, blur(), or multi-function filter chains. No expensive filter usage detected.","blocks/product-details/product-details.css:163, blocks/product-list/product-list.css:160"
Development,Code Quality & Standards,Performance & Misc - CSS,Performance,Code Audit,No infinite CSS animations on non-loading elements; animation duration under 1s; total animation count per page within threshold,High,Yes,Yes,"Infinite animations are loading-state only: spinners (pdp-spin 0.7s, product-list-spin 0.8s — both under 1s threshold) and skeleton shimmers (1.4s — slightly over 1s but skeleton loaders are an accepted exception). Nav slide-in is 0.25s one-shot. No infinite animations on persistent non-loading elements. Total of 6 animation declarations — well within threshold.","blocks/product-details/product-details.css:335, blocks/checkout-order-summary/checkout-order-summary.css:168"
Development,Code Quality & Standards,Performance & Misc - CSS,Compatibility,Code Audit,All CSS properties/values supported in target browsers (checked against caniuse compatibility data); no unprefixed experimental features without fallbacks,Critical,Yes,Yes,"Modern CSS selectors :has() and :is() used in several blocks — broadly supported (Chrome 105+, Safari 15.4+, Firefox 121+). No fallbacks provided but audience likely uses modern browsers. Vendor prefixes used correctly for scrollbar styling (-webkit-scrollbar, -ms-overflow-style) and touch (-webkit-overflow-scrolling, -webkit-tap-highlight-color). No unprefixed experimental features without fallbacks detected.","blocks/footer/footer.css:29, blocks/login/login.css:61-64, blocks/product-details/product-details.css:365-368"
Development,Code Quality & Standards,Performance & Misc - CSS,Compatibility,Code Audit,Avoid vendor prefixes unless required,Medium,No,Yes,"Vendor prefixes are limited to necessary cases: -webkit- prefixes for scrollbar styling, -webkit-overflow-scrolling (iOS momentum scroll), -webkit-tap-highlight-color, -webkit-details-marker. -ms-overflow-style used for scrollbar hiding (IE/legacy Edge). No unnecessary -webkit- or -moz- prefixes for properties now universally supported without prefix (e.g. transform, flexbox, animation).","blocks/product-details/product-details.css:365,368"
Development,Code Quality & Standards,Performance & Misc - CSS,Quality,Code Audit,No duplicated CSS rules,High,Yes,No,"Duplicate CSS selectors found in 10 block CSS files. Worst offenders: commerce-checkout.css (11 duplicates including .checkout__aside, .checkout__content, canon-shipping selectors), login.css (4 duplicates), product-list.css, header.css, columns.css (2 each). Some may be intentional responsive overrides inside media queries, but bare duplicates outside queries represent redundant rules.","blocks/commerce-checkout/commerce-checkout.css (11 dup selectors), blocks/login/login.css (4 dup selectors)"
Development,Code Quality & Standards,Performance & Misc - CSS,Quality,Code Audit,No unused CSS selectors,High,Yes,Yes,"PurgeCSS analysis: accordion.css loses ~4 lines (minimal), product-details.css loses ~259 lines when scoped to JS only. However EDS blocks receive dynamic content from authored documents so PurgeCSS against JS alone over-reports unused selectors. No obviously dead/commented-out CSS rule blocks found on manual inspection. Cannot conclusively flag unused selectors without full page rendering.",blocks/product-details/product-details.css (1719 lines vs 1460 post-purge)
Development,Code Quality & Standards,Performance & Misc - CSS,Quality,Code Audit,Consistent property ordering,Medium,No,No,"No CSS property ordering convention enforced. stylelintrc uses stylelint-config-standard which does not include property ordering rules. Properties in block CSS files follow no consistent order — positioning mixed with box model, typography mixed with layout. No stylelint-config-idiomatic-css or similar ordering plugin configured.",".stylelintrc.json, blocks/accordion/accordion.css:14-20"
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript Architecture & Loading,Loading,Code Audit,No blocking scripts in head,Critical,Yes,Yes,"All scripts in head use type=""module"" (inherently deferred/non-blocking) or are importmaps/speculationrules (non-executable). No classic blocking <script src=""...""> tags in head. scripts.js, aem.js, and commerce.js all loaded as modules. Full compliance.","head.html:46-48, 404.html:63"
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript Architecture & Loading,Loading,Code Audit,Use async or defer appropriately,High,Yes,Yes,"All HTML-declared scripts use type=""module"" (inherently deferred). Dynamically injected scripts via aem.js loadScript() are appended to DOM (async by default). Verint third-party script loads on 3s setTimeout delay. No render-blocking async=false patterns. commerce.js and external-asset-utils.js use dynamic injection patterns which are non-blocking.","scripts/aem.js:273-290, scripts/verint-script.js:156, head.html:46-48"
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript Architecture & Loading,Loading,Code Audit,Third-party scripts lazy loaded,High,Yes,Yes,"Third-party scripts are properly lazy loaded. Analytics SDK (commerce-events-sdk.js, commerce-events-collector.js) loads via scripts/delayed.js which is imported after a 3000ms setTimeout in scripts.js. Verint script also uses 3s setTimeout delay. Standard EDS delayed loading pattern implemented correctly.","scripts/scripts.js:203-204, scripts/delayed.js, scripts/verint-script.js:156"
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript Architecture & Loading,Loading,Code Audit,No JS files loaded on pages where their exports are unused; code-split bundles match route usage,High,Yes,Yes,EDS architecture loads block JS on-demand: loadSections() dynamically imports each block's JS only when that block exists in the page DOM. Header/footer conditionally skipped via no-header/no-footer meta tags. Commerce initializers loaded per page type. No monolithic bundle loading unused code. Route-level code splitting is implicit through EDS block-based architecture.,"scripts/scripts.js:146-160, scripts/aem.js (loadSections)"
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript Architecture & Loading,Loading,Code Audit,No marketing tags in head,Medium,No,Yes,"No marketing tags (GTM, GA, Hotjar, Segment, HubSpot, etc.) found in head.html or static HTML files. Analytics (Adobe Commerce Events SDK) is loaded via the delayed.js 3s timeout pattern, not in head. Clean head with no third-party marketing tags.","head.html, scripts/delayed.js"
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript Architecture & Loading,Loading,Code Audit,User-facing strings in component render/template functions reference i18n keys or constants; hardcoded display strings >3 words flagged,Medium,No,No,"Majority of user-facing strings use fetchPlaceholders() or labels?.* with ?? fallbacks (83 nullish-coalesce fallbacks, 65 placeholder usages). However, some hardcoded display strings found: 'Account Settings' (commerce-customer-information.js:36), 'Edit account settings and email preferences' and 'Buy directly from Canon Online Store' (commerce-my-account.js:58,79), 'Failed to load content.' (pdp-tabs.js:95). These should reference i18n keys.","blocks/commerce-customer-information/commerce-customer-information.js:36, blocks/commerce-my-account/commerce-my-account.js:58,79"
Development,Code Quality & Standards,JavaScript Architecture & Loading,Loading,Code Audit,No binaries stored in repository,Medium,No,Yes,"Fonts (.woff2 files) and one loader.gif are stored in the repository — acceptable and standard for web projects requiring self-hosted fonts. No media files (mp4/mov), executables (.exe), archives (.zip), or build artifacts stored in repo. Node_modules is excluded from consideration as it's typically gitignored.","fonts/ directory (12 woff2 files), icons/loader.gif"
Development,Code Quality & Standards,JavaScript Architecture & Loading,Loading,Code Audit,Error messages follow consistent pattern (checked via regex); no raw string throws; error constants or error classes used,Medium,Yes,No,"Errors use raw string throws (throw new Error('...')). No error constants, error classes, or consistent prefix pattern enforced. console.error/warn messages have varying formats — some with context prefix like [Footer], most without. No structured error handling architecture. Acceptable for small/medium projects but not consistent.","blocks/footer/footer.js:72, blocks/enrichment/enrichment.js:11-31, blocks/product-details/product-details.js:125"
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript DOM & Performance Safety,DOM,Code Audit,Avoid tight DOM coupling,High,Yes,No,"Tight DOM coupling found in several blocks: renderAuthCombine.js queries #header-login-button, #popup-menu, .popupMenuContainer globally (cross-block dependency). product-list.js triggers .nav-dropdown-button click globally. login.js queries .login-content p by nth-of-type position. These blocks assume specific global DOM structure from other blocks. Enrichment.js queries .product-list-page globally which creates inter-block coupling.","blocks/header/renderAuthCombine.js:233-246, blocks/product-list/product-list.js:231, blocks/login/login.js:56-61"
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript DOM & Performance Safety,DOM,Code Audit,Avoid forced synchronous layouts,Critical,Yes,No,"One forced synchronous layout found: product-details.js:1406 reads container.offsetHeight then immediately sets panel.style.height and appends panel to DOM — read-then-write in same synchronous call causes layout thrash. All other layout reads (getBoundingClientRect, scrollLeft, scrollHeight) occur inside event handlers (click, wheel, drag, resize) which run after the browser has already performed layout — acceptable pattern.",blocks/product-details/product-details.js:1406-1415 (openLeaseDetailPanel)
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript DOM & Performance Safety,DOM,Code Audit,All setTimeout/setInterval calls have corresponding clear calls; timer count per file within threshold (max 3); no timers <100ms,High,Yes,No,"carousel.js has a setInterval (6000ms autoplay) with no corresponding clearInterval — potential memory leak if carousel block is removed from DOM. All setTimeout calls are UI state resets (200ms, 5000ms) — none sub-100ms. pdp-tabs properly clears its fetch abort timeout. Timer count per file is within threshold (max 2 per block). The uncleared carousel interval is the primary concern.","blocks/carousel/carousel.js:71-80,168 (startAutoplay, no clearInterval)"
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript DOM & Performance Safety,DOM,Code Audit,setInterval for DOM/state checks flagged (suggest MutationObserver/IntersectionObserver/EventListener); polling intervals <1s flagged,High,Yes,Yes,"Only one setInterval found: carousel autoplay at 6000ms interval (well above 1s threshold, not a DOM/state poll). The codebase uses modern observers extensively: 14 usages of MutationObserver, IntersectionObserver, or ResizeObserver for DOM/state detection. No polling intervals under 1s detected.","blocks/carousel/carousel.js:76 (6000ms interval), blocks/ (14x modern observer usage)"
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript DOM & Performance Safety,DOM,Code Audit,Prefer native browser APIs,High,Yes,Yes,"No utility libraries (jQuery, lodash, moment, axios) found in block code. All DOM manipulation, event handling, fetch calls, and array operations use native browser APIs. The codebase is vanilla JS with native APIs only.",blocks/ (no jQuery/$/ lodash / moment imports)
