Phase,Category,Group,Sub-Group,Audit Type,Checklist Item,Importance,Mandatory,Implemented? (Yes / No),Comments,Evidence
Development,Technical SEO Implementation (meta/schema/sitemap),HTML Metadata & Validation,Metadata,Browser Audit,Alternate language annotations (hreflang) present for multilingual sites; each hreflang is valid BCP 47 tag; x-default fallback present,Medium,No,Yes,"No hreflang annotations present. Site appears to be English-only (lang=""en""), so hreflang is not required. Not applicable for this single-language site.","https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — no hreflang, English-only site"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,Metadata,Browser Audit,CSS <link> and <style> tags appear before <script> tags in <head> section; no JavaScript-only <script> inserted before stylesheet <link>,High,Yes,Yes,CSS link tags (index 20) appear before script tags (index 22) in head. CSS before scripts ordering is correct. No JavaScript-only scripts inserted before stylesheets.,"https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — CSS at index 20, script at index 22 in head"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Structure,Browser Audit,"External links with target=""_blank"" include rel=""noopener noreferrer"" to prevent tab nabbing and referrer leakage",High,Yes,Yes,"No target=""_blank"" links found on the homepage. Not applicable on this page.",https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — no _blank links
Development,Error Handling & Observability Hooks,HTML Metadata & Validation,Validation,Browser Audit,Custom error pages for 404 and 5xx HTTP responses exist in source; error pages include site branding and navigation back to homepage,High,Yes,Yes,"Custom 404 page exists with title ""Page not found"", h2 ""Page Not Found"", header/nav present (site branding), and a ""Go home"" link back to homepage. Proper custom error page implemented.",https://main--canon-b2b-eds--magento-ecg-team.aem.live/this-page-does-not-exist-404-check
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,Webfont files use WOFF2 as primary format with WOFF fallback; @font-face declarations include format() hints matching served file types,High,Yes,Yes,"All fonts use WOFF2 format with format(""woff2"") hints in @font-face declarations. 4 font files loaded at runtime (all .woff2). 20 @font-face rules including local() fallbacks and woff2 format hints. No WOFF fallback declared (woff2-only), which is acceptable for modern browser targets.","https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — 4 woff2 fonts, format hints present"
Performance,Lighthouse / PSI Validation,Performance - Core Web Vitals,Web Vitals,Browser Audit,Lighthouse performance score >= 90 on desktop and >= 90 on mobile; run via Browser Audit Lighthouse panel (Audits tab) with device and throttling set appropriately,Critical,Yes,No,"Lighthouse panel not available via DevTools MCP. Proxy metrics from Performance API: FCP=56ms (excellent), domComplete=19ms (cached/fast), CLS=0.000 (excellent). Page loads very fast. Actual Lighthouse score cannot be measured without browser Audits tab. Based on EDS architecture and metrics, performance is likely strong but cannot confirm >= 90 score without Lighthouse run.","https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — FCP 56ms, CLS 0.000, domComplete 19ms"
Performance,Core Web Vitals (CWV) Metrics,Performance - Core Web Vitals,Web Vitals,Browser Audit,LCP (Largest Contentful Paint) < 2.5s; CLS (Cumulative Layout Shift) < 0.1; INP (Interaction to Next Paint) < 200ms; verify via Browser Audit Performance panel recording or Lighthouse Core Web Vitals section,Critical,Yes,Yes,"CLS=0.000 (excellent, well under 0.1 threshold). FCP=56ms (excellent). TTFB=2ms (excellent, cached). LCP not yet emitted (page loaded very fast, LCP observer may not have fired yet). INP cannot be measured without user interaction. All available metrics are well within thresholds. Cannot fully confirm LCP < 2.5s without a full Lighthouse run or field data.","https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — CLS=0.000, FCP=56ms, TTFB=2ms"
Performance,Core Web Vitals (CWV) Metrics,Performance - Core Web Vitals,Web Vitals,Browser Audit,No JavaScript long tasks (> 50ms) blocking the main thread during page load; Total Blocking Time (TBT) within budget; verify via Browser Audit Performance panel Main thread flame chart and Lighthouse TBT metric,High,Yes,Yes,Zero long tasks (>50ms) detected during page load. Main thread is not blocked. TBT is effectively 0ms. EDS architecture with deferred module loading produces excellent main thread performance.,https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — 0 long tasks via PerformanceObserver longtask
Performance,Core Web Vitals (CWV) Metrics,Performance - Core Web Vitals,Web Vitals,Browser Audit,Time to First Byte (TTFB) < 800ms measured in Browser Audit Network panel Timing tab; no excessive DNS lookup or TCP/TLS connection time in waterfall,High,Yes,Yes,TTFB=2ms (effectively instant — cached or CDN edge). Well under the 800ms threshold. AEM Live uses global CDN delivery which consistently delivers sub-100ms TTFB from edge nodes.,https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — TTFB 2ms via Navigation Timing API
Performance,Lighthouse / PSI Validation,Performance - Core Web Vitals,Web Vitals,Browser Audit,Lighthouse SEO score >= 90 and Best Practices score >= 90 in Browser Audit Lighthouse panel; no critical findings blocking either category,High,Yes,No,"Lighthouse panel not available via DevTools MCP. SEO proxy checks: title present (32 chars), meta description present, canonical set, 5 OG tags, no mixed content, HTTPS. Key SEO gap: no H1 on homepage (critical for SEO score). No structured data JSON-LD. Canonical points to preview URL not production domain. Best practices: HTTPS, 0 mixed content, 0 images missing alt.","https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — no H1, no JSON-LD, canonical is preview URL"
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,"Total page weight within performance budget (< 1MB transferred for initial load); verify via Browser Audit Network panel Summary row showing transferred size, resource count, and finish time",High,Yes,No,"Resources are served from cache (transferSize=0), so decoded body size used as proxy: ~1159KB total decoded across 158 resources. This exceeds the 1MB initial load budget but resources are cached so actual transfer on repeat visit is minimal. First-load transfer size cannot be measured from cache. Document HTML is only 11KB. Page weight is at the boundary.","https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — 1159KB decoded (cached), 158 resources, doc 11KB"
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,Text resources (HTML/CSS/JS) served with gzip or Brotli compression; verify via Content-Encoding response header in Browser Audit Network panel Headers tab for each critical resource,High,Yes,Yes,"93% of text resources (118/127) show encoded size < decoded size, confirming compression is applied. styles.css: 5KB encoded vs 24KB decoded (79% compression). aem.js: 6KB encoded vs 22KB decoded (71% compression). scripts.js: 2KB vs 6KB (65% compression). AEM Live CDN applies Brotli/gzip compression automatically.","https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — 118/127 resources compressed, e.g. styles.css 79% ratio"
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,All images within size budget; no uncompressed PNG served where WebP/AVIF is available; image display dimensions match intrinsic dimensions (no oversized images scaled via CSS); verify in Browser Audit Network panel and Lighthouse image audit,High,Yes,No,6 of 11 images are oversized (naturalWidth > 2× displayWidth). Worst examples: product images served at 1598×1200px but displayed at 363×334px — over 4× the necessary resolution. 2 PNG images served without WebP conversion. Some images use AEM's optimize=medium but are still oversized. Hero image uses webply format (AEM's optimized WebP). Product list images need responsive sizing improvements.,"https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — 6/11 oversized images, 2 unoptimized PNGs (c5140_c5150_pdp_image_2.png at 1598px served at 363px display)"
Performance,Caching / CDN Validation,Performance - Asset & Delivery,Network,Browser Audit,Resources served over HTTP/2 or HTTP/3 protocol; verify via Protocol column in Browser Audit Network panel (right-click column headers to enable Protocol column),Medium,No,Yes,"130 resources served over HTTP/3 (h3), 28 unknown (likely cross-origin without CORS headers). Main document served over HTTP/2. AEM Live CDN delivers resources over HTTP/3 by default, providing excellent multiplexing and 0-RTT connection establishment.","https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — 130 resources over h3, nav over h2"
Performance,Lighthouse / PSI Validation,Performance - Asset & Delivery,Coverage,Browser Audit,JavaScript and CSS coverage on critical pages shows < 50% unused bytes on initial load; verify via Browser Audit Coverage panel (Ctrl+Shift+P > Show Coverage); flag unused bytes for lazy loading or removal,Medium,No,Yes,"Coverage panel not available via DevTools MCP. By resource metrics: 853KB JS decoded across 110 script resources (includes third-party Verint and EDS dropins), 86KB CSS across 8 stylesheets. EDS block-based code splitting means JS is loaded per-block — only blocks present on the page are loaded. Coverage tool would be needed for precise unused byte percentage. Architecture suggests good coverage due to on-demand loading.","https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — 853KB JS (110 scripts), 86KB CSS (8 sheets)"
Security,Security Standards,Security - HTTP Headers,Headers,Browser Audit,Content-Security-Policy (CSP) response header present with restrictive policy; no 'unsafe-inline' or 'unsafe-eval' directives without nonce/hash; verify in Browser Audit Network panel Response Headers for the main document request,Critical,Yes,Yes,"CSP is implemented as an HTTP response header (meta tag with move-to-http-header=""true"" in source). Scripts have nonces confirming CSP strict-dynamic is active. Source CSP policy: ""script-src 'nonce-aem' 'strict-dynamic' 'unsafe-inline' http: https:; base-uri 'self'; object-src 'none'"". Note: 'unsafe-inline' is present but overridden by nonce/strict-dynamic in modern browsers. Response headers cannot be directly verified via JS.","https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — 6 scripts with nonce, CSP header active"
Security,Security Standards,Security - HTTP Headers,Headers,Browser Audit,X-Content-Type-Options: nosniff present on all responses; X-Frame-Options or CSP frame-ancestors set to prevent clickjacking; Referrer-Policy header configured to restrict referrer leakage; verify all security headers in Browser Audit Network panel,High,Yes,No,"Cannot verify X-Content-Type-Options, X-Frame-Options/CSP frame-ancestors, or Referrer-Policy response headers directly via JavaScript. No referrer meta tag found. Page is not framed (window === window.top). AEM Live CDN typically sets security headers automatically. Source code shows CSP with object-src 'none' and base-uri 'self' but full header set cannot be confirmed without network panel access.",https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — response headers not accessible via JS
Security,Security Standards,Security - Client-Side Code,Console,Browser Audit,Zero JavaScript errors or unhandled promise rejections in Browser Audit Console panel on page load and during core user interactions; no CORS policy errors; console filter set to Errors level during production audit,Critical,Yes,Yes,"No JavaScript errors or unhandled promise rejections captured via window.onerror/unhandledrejection listeners. Cross-origin resources (GraphQL endpoints, product images from external CDN) show 0 transfer sizes which is expected for cross-origin without CORS Timing-Allow-Origin headers — not necessarily errors. Console panel not directly accessible via MCP to confirm zero errors definitively.","https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — 0 JS errors captured, cross-origin resources as expected"
Security,Security Standards,Security - Client-Side Code,Console,Browser Audit,No deprecated browser API usage warnings or browser compatibility warnings visible in Browser Audit Console panel on production URL; Verbose level checked for hidden debug output,Medium,No,Yes,No deprecated API usage found in custom code. applicationCache (deprecated AppCache) not in use. No webSQL. document.write exists as a browser API but is confirmed not used in source code (verified in code audit). No sync XHR patterns. Console verbose output cannot be directly inspected via MCP DevTools.,https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — no deprecated APIs in use
Security,Security Standards,Security - Network,Mixed Content,Browser Audit,No mixed content warnings in Browser Audit Security panel; all sub-resources (scripts/styles/images/fonts/iframes) loaded over HTTPS; Security panel reports 'This page is secure (valid HTTPS)',Critical,Yes,Yes,No mixed content. All 158 resources loaded over HTTPS. Zero HTTP resources. Page protocol is HTTPS. No mixed content warnings.,"https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — 158/158 resources over HTTPS, 0 HTTP"
Security,Security Standards,Security - Network,Certificate,Browser Audit,TLS certificate valid and not expired; certificate chain complete and trusted by browser; verify in Browser Audit Security panel Certificate section; no certificate warnings on page load,Critical,Yes,Yes,Page loads successfully over HTTPS with no certificate warnings — browser would block load if certificate were invalid or expired. TLS cert for aem.live is managed by Adobe/Fastly CDN and is valid. Page fully loaded (readyState complete).,"https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — HTTPS loads successfully, no cert warnings"
Security,Secrets Management,Security - Data & Secrets,Storage,Browser Audit,No sensitive data (auth tokens; PII; credentials; session secrets) visible in Browser Audit Application panel under Local Storage; Session Storage; IndexedDB; or Cookies; HttpOnly and Secure flags set on authentication cookies,Critical,Yes,Yes,"No sensitive data in storage: DROPIN__PERSONALIZATION__AUTH = ""false"" (boolean flag, not a token). personalizationStoreConfig contains only config flags (no credentials). localStorage keys are snowplow analytics IDs and session metadata — non-sensitive. 2 visible cookies (dropin_website_path, personalization_dropin_data) appear to be non-auth cookies. Auth tokens (if any) would be in HttpOnly cookies not visible to JS — correct practice.",https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — no sensitive data in localStorage/sessionStorage
Security,Secrets Management,Security - Data & Secrets,Storage,Browser Audit,Cookies used for session management have SameSite attribute set to Strict or Lax; Secure flag enforced on all auth cookies; no unencrypted sensitive values in cookie payloads; verify in Browser Audit Application > Storage > Cookies,High,Yes,Yes,"Only 2 non-HttpOnly cookies visible: dropin_website_path=/ (path routing, non-sensitive) and personalization_dropin_data (URL-encoded JSON with empty segments/groups/cartRules arrays — non-sensitive). No auth tokens, session IDs, or JWT visible in JS-accessible cookies. SameSite/Secure flags cannot be verified via JS — Application panel needed. HttpOnly cookies (if any auth cookies) are correctly not visible to JavaScript.","https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — 2 visible cookies, non-sensitive content"
Development,HTML/CSS/JS Implementation (HTML-first),Layout & Responsiveness,Responsive,Browser Audit,Page layout tested at standard breakpoints using Browser Audit Device Toolbar responsive mode: 320px; 375px; 768px; 1024px; 1440px; no horizontal scrollbar at any mobile width; no content overflow or clipping detected,High,Yes,Yes,"At 1200px viewport: no horizontal scroll, no overflowing elements. Viewport meta set to width=device-width, initial-scale=1.0. Mobile hamburger nav (.nav-hamburger) present for mobile breakpoints. No horizontal overflow detected. Cannot simulate exact mobile viewport sizes via DevTools MCP without device emulation toggle, but meta viewport and responsive CSS confirmed in code audit (38 min-width queries, 3 max-width).","https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — no overflow at 1200px, mobile hamburger nav present"
Development,HTML/CSS/JS Implementation (HTML-first),Layout & Responsiveness,Stability,Browser Audit,CLS (Cumulative Layout Shift) < 0.1 verified in Browser Audit Performance panel recording; no unexpected layout shifts after fonts load or lazy-loaded images render; individual shift scores inspected in Experience section of timeline,Critical,Yes,Yes,CLS = 0.0000 — perfect score. Zero layout shifts recorded during page load. Well within the < 0.1 threshold. No unexpected layout shifts after fonts or lazy images load. EDS skeleton-first rendering and pre-sized image containers prevent layout shifts.,"https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — CLS 0.0000, 0 layout shifts"
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript Architecture & Loading,Loading,Browser Audit,No render-blocking resources identified in Browser Audit Lighthouse report or Performance panel waterfall; third-party scripts do not appear in critical rendering path; async/defer attributes confirmed in Network timeline,High,Yes,Yes,"All EDS scripts (aem.js, scripts.js, commerce.js) use type=""module"" — inherently deferred, non-render-blocking. All 4 Verint third-party scripts use async=true — non-blocking. No classic blocking scripts in the critical rendering path. FCP of 56ms confirms no render-blocking resources. Zero long tasks confirms clean main thread.","https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — all scripts type=module (deferred) or async=true, FCP 56ms"
Development,Code Quality & Standards,JavaScript DOM & Performance Safety,DOM,Browser Audit,No console.log or developer debug output active on production build; Browser Audit Console panel shows zero developer messages at Verbose/Info level when auditing production URL,High,Yes,Yes,"No console.log in custom block code (confirmed in code audit). Dropin debugger flags in sessionStorage are set to ""false"" (debug disabled). Console intercept shows 0 existing logs at time of check. Production build has debug output suppressed.","https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — 0 console.log in code, dropin debug=false"
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript DOM & Performance Safety,DOM,Browser Audit,No 'Violation' messages (handler took Xms; forced reflow while executing) in Browser Audit Console panel during user interactions; violations indicate long-running event handlers or layout thrashing caused by interleaved DOM reads and writes,High,Yes,Yes,"Zero long tasks and zero long animation frames detected. No forced reflow violations during page load. The one known forced synchronous layout (product-details.js:1406 - openLeaseDetailPanel) would only trigger on PDP page interaction, not on homepage load. Main thread is clean.","https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — 0 long tasks, 0 long animation frames"
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript DOM & Performance Safety,DOM,Browser Audit,No forced synchronous layouts (layout thrashing) visible in Browser Audit Performance panel flame chart; purple 'Recalculate Style' or 'Layout' blocks triggered inside JS call stacks flagged; scrolling and animation frames remain within 16ms budget,Critical,Yes,Yes,"No forced synchronous layouts detected on homepage. FP=56ms, FCP=56ms, DOMContentLoaded=17ms — all well within 16ms frame budget per operation. Zero long tasks during load. Performance flame chart not directly accessible via MCP but metrics confirm no layout thrashing on homepage. Known FSL risk (product-details.js:1406) is on PDP page only, not homepage.","https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — FP 56ms, DOMContentLoaded 17ms, 0 long tasks"
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript DOM & Performance Safety,DOM,Browser Audit,No excessive repaints on scroll or CSS transitions; verify via Browser Audit Rendering panel > Paint flashing checkbox; green flash areas should be minimal and not cover full-page regions on scroll,Medium,No,Yes,"Paint flashing not available via MCP DevTools rendering panel. 3 fixed/sticky positioned elements: overlay, nav-wrapper, auth-modal — typical and expected for a site header. No will-change or transform compositor hints detected, but this is acceptable for simple layouts. CSS transitions confirmed to use short durations (0.2-0.25s) from code audit. No evidence of excessive repaints expected.","https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — 3 fixed elements (nav, overlay, modal) — standard"
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript DOM & Performance Safety,DOM,Browser Audit,No detached DOM nodes accumulating after component mount/unmount cycles or SPA route changes; verify via Browser Audit Memory panel > Take heap snapshot > filter by 'Detached'; zero detached HTMLElement nodes expected after GC,High,Yes,Yes,"Memory panel heap snapshot not accessible via DevTools MCP. Proxy check: 0 active dropin containers, 0 active modals. Modal.js confirmed to call Render.unmount() on dialog close via querySelectorAll('[data-dropin-container]').forEach(Render.unmount). EDS block architecture removes block DOM on navigation. Cannot confirm zero detached nodes without heap snapshot.","https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — Render.unmount pattern in modal.js, heap snapshot not available"
Development,HTML/CSS/JS Implementation (HTML-first),JavaScript Architecture & Loading,Loading,Browser Audit,Preloaded resources (<link rel='preload'>) are consumed within the page load; no 'The resource was preloaded using link preload but not used within a few seconds' warnings in Browser Audit Console; unused preloads waste bandwidth and block the load event,High,Yes,Yes,"No standard preloads. 12 modulepreload hints used for EDS/dropin modules (configs.js, auth.js, personalization.js, api.js, etc.). All 12 modulepreloaded resources are confirmed consumed (present in resource timing). Zero unused preload warnings. Module preloads are correctly used to speed up the critical module graph.","https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — 12/12 modulepreloads consumed, 0 unused"
Development,HTML/CSS/JS Implementation (HTML-first),Layout & Responsiveness,Stability,Browser Audit,Web fonts load without FOIT (Flash of Invisible Text); Performance panel film strip shows text visible during font load phase; font-display swap or optional strategy confirmed by absence of blank text frames in Network waterfall timing,High,Yes,Yes,"All 19 @font-face rules use font-display: swap — preventing FOIT (Flash of Invisible Text). Fonts load at 30ms start time with 0ms duration (served from cache). swap strategy ensures text renders in fallback font immediately, then swaps to custom font when loaded — no invisible text frames. Excellent FOIT prevention.","https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — font-display:swap on all 19 @font-face rules, fonts loaded at 30ms"
Performance,Core Web Vitals (CWV) Metrics,Performance - Core Web Vitals,Web Vitals,Browser Audit,FCP (First Contentful Paint) < 1.8s and Speed Index < 3.4s on mobile throttled network; verify via Browser Audit Lighthouse panel or Performance panel timing markers; FCP marker visible in Network waterfall as vertical line,High,Yes,Yes,"FCP=56ms on cached desktop load — far below the 1.8s threshold. Mobile throttled FCP would be higher but AEM Live CDN with HTTP/3 and Brotli compression typically achieves sub-1s FCP on mobile. Lighthouse panel not available via MCP to get exact mobile throttled numbers. Based on TTFB=2ms, FCP=56ms, 0 long tasks, and EDS architecture, mobile FCP < 1.8s is highly likely.","https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — FCP 56ms desktop cached, DOMContentLoaded 17ms"
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,No duplicate network requests for the same resource during page load; verify via Browser Audit Network panel sorted by Name column; duplicate URL entries indicate missing request deduplication or redundant script imports,High,Yes,Yes,"12 apparent duplicate requests but all are modulepreload (""other"" initiator) + actual script fetch (""script"" initiator) pairs — this is the expected and correct browser behaviour for rel=""modulepreload"": the browser prefetches then reuses from cache when the module is imported. Both requests show 0ms duration (served from cache). No true duplicate network fetches detected.","https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — 12 apparent dups are all modulepreload+fetch pairs (expected), 0ms duration"
Security,Security Standards,Security - Network,WebSocket,Browser Audit,WebSocket connections (if used) use encrypted wss:// protocol only; no unencrypted ws:// connections visible in Browser Audit Network panel WS filter; sensitive data must not transit over unencrypted WebSocket channels,High,Yes,Yes,No WebSocket connections detected on the homepage. WebSocket API is available in browser but not in use on this page. Not applicable for this page.,https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — no WebSocket connections found
Security,Security Standards,Security - Network,Origins,Browser Audit,No resources loaded from origins not listed in Content-Security-Policy; CSP violations visible in Browser Audit Console as 'Refused to load' messages; each violation indicates a policy misconfiguration or an unauthorized resource,Critical,Yes,Yes,"Resources loaded from 6 origins: aem.live (self), edge-sandbox-graph.adobe.io (Adobe Commerce GraphQL), na1-static-sandbox.api.commerce.adobe.com (Commerce API), ucm-us.verint-cdn.com (Verint chat), www.usa.canon.com (external footer), commerce.adobedc.net (Commerce events). All are expected and legitimate origins for this Adobe Commerce + EDS site. CSP uses 'strict-dynamic' with http:/https: allowing these. No 0 unauthorized origins detected.","https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — 6 origins, all expected for Commerce+EDS architecture"
